Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
2016-17,76ers,15-27,0.357,,,,,,,,,,,,,,,,,
2016-17,Bucks,20-23,0.465,,,,,,,,,,,,,,,,,
2016-17,Bulls,21-23,0.477,,,,,,,,,,,,,,,,,
2016-17,Cavaliers,30-12,0.714,,,,,,,,,,,,,,,,,
2016-17,Celtics,25-15,0.625,,,,,,,,,,,,,,,,,
2016-17,Clippers,29-16,0.644,,,,,,,,,,,,,,,,,
2016-17,Grizzlies,26-20,0.565,,,,,,,,,,,,,,,,,
2016-17,Hawks,23-17,0.575,,,,,,,,,,,,,,,,,
2016-17,Heat,14-30,0.318,,,,,,,,,,,,,,,,,
2016-17,Hornets,22-21,0.512,,,,,,,,,,,,,,,,,
2016-17,Jazz,29-16,0.644,,,,,,,,,,,,,,,,,
2016-17,Kings,16-27,0.372,,,,,,,,,,,,,,,,,
2016-17,Lakers,16-32,0.333,,,,,,,,,,,,,,,,,
2016-17,Magic,18-28,0.391,,,,,,,,,,,,,,,,,
2016-17,Mavericks,15-29,0.341,,,,,,,,,,,,,,,,,
2016-17,Nets,9-33,0.214,,,,,,,,,,,,,,,,,
2016-17,Nuggets,18-25,0.419,,,,,,,,,,,,,,,,,
2016-17,Pacers,22-21,0.512,,,,,,,,,,,,,,,,,
2016-17,Pelicans,17-27,0.386,,,,,,,,,,,,,,,,,
2016-17,Pistons,21-24,0.467,,,,,,,,,,,,,,,,,
2016-17,Raptors,28-16,0.636,,,,,,,,,,,,,,,,,
2016-17,Rockets,34-13,0.723,,,,,,,,,,,,,,,,,
2016-17,Spurs,34-9,0.791,,,,,,,,,,,,,,,,,
2016-17,Suns,15-29,0.341,,,,,,,,,,,,,,,,,
2016-17,Thunder,25-19,0.568,,,,,,,,,,,,,,,,,
2016-17,Timberwolves,16-28,0.364,,,,,,,,,,,,,,,,,
2016-17,Trail Blazers,19-27,0.413,,,,,,,,,,,,,,,,,
2016-17,Warriors,38-6,0.864,,,,,,,,,,,,,,,,,
2016-17,Wizards,23-20,0.535,,,,,,,,,,,,,,,,,
2015-16,76ers,10-72,0.122,,,,,,,,,,,,,,,,,
2015-16,Bucks,33-49,0.402,,,,,,,,,,,,,,,,,
2015-16,Bulls,42-40,0.512,,,,,,,,,,,,,,,,,
2015-16,Cavaliers,57-25,0.695,,,,,,,,,,,,,,,,,
2015-16,Celtics,48-34,0.585,,,,,,,,,,,,,,,,,
2015-16,Clippers,53-29,0.646,,,,,,,,,,,,,,,,,
2015-16,Grizzlies,42-40,0.512,,,,,,,,,,,,,,,,,
2015-16,Hawks,48-34,0.585,,,,,,,,,,,,,,,,,
2015-16,Heat,48-34,0.585,,,,,,,,,,,,,,,,,
2015-16,Hornets,48-34,0.585,,,,,,,,,,,,,,,,,
2015-16,Jazz,40-42,0.488,,,,,,,,,,,,,,,,,
2015-16,Kings,33-49,0.402,,,,,,,,,,,,,,,,,
2015-16,Lakers,17-65,0.207,,,,,,,,,,,,,,,,,
2015-16,Magic,35-47,0.427,,,,,,,,,,,,,,,,,
2015-16,Mavericks,42-40,0.512,,,,,,,,,,,,,,,,,
2015-16,Nets,21-61,0.256,,,,,,,,,,,,,,,,,
2015-16,Nuggets,33-49,0.402,,,,,,,,,,,,,,,,,
2015-16,Pacers,45-37,0.549,,,,,,,,,,,,,,,,,
2015-16,Pelicans,30-52,0.366,,,,,,,,,,,,,,,,,
2015-16,Pistons,44-38,0.537,,,,,,,,,,,,,,,,,
2015-16,Raptors,56-26,0.683,,,,,,,,,,,,,,,,,
2015-16,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
2015-16,Spurs,67-15,0.817,,,,,,,,,,,,,,,,,
2015-16,Suns,23-59,0.28,,,,,,,,,,,,,,,,,
2015-16,Thunder,55-27,0.671,,,,,,,,,,,,,,,,,
2015-16,Timberwolves,29-53,0.354,,,,,,,,,,,,,,,,,
2015-16,Trail Blazers,44-38,0.537,,,,,,,,,,,,,,,,,
2015-16,Warriors,73-9,0.89,,,,,,,,,,,,,,,,,
2015-16,Wizards,41-41,0.5,,,,,,,,,,,,,,,,,
2014-15,76ers,18-64,0.22,,,,,,,,,,,,,,,,,
2014-15,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2014-15,Bulls,50-32,0.61,,,,,,,,,,,,,,,,,
2014-15,Cavaliers,53-29,0.646,,,,,,,,,,,,,,,,,
2014-15,Celtics,40-42,0.488,,,,,,,,,,,,,,,,,
2014-15,Clippers,56-26,0.683,,,,,,,,,,,,,,,,,
2014-15,Grizzlies,55-27,0.671,,,,,,,,,,,,,,,,,
2014-15,Hawks,60-22,0.732,,,,,,,,,,,,,,,,,
2014-15,Heat,37-45,0.451,,,,,,,,,,,,,,,,,
2014-15,Hornets,33-49,0.402,,,,,,,,,,,,,,,,,
2014-15,Jazz,38-44,0.463,,,,,,,,,,,,,,,,,
2014-15,Kings,29-53,0.354,,,,,,,,,,,,,,,,,
2014-15,Knicks,17-65,0.207,,,,,,,,,,,,,,,,,
2014-15,Lakers,21-61,0.256,,,,,,,,,,,,,,,,,
2014-15,Magic,25-57,0.305,,,,,,,,,,,,,,,,,
2014-15,Mavericks,50-32,0.61,,,,,,,,,,,,,,,,,
2014-15,Nets,38-44,0.463,,,,,,,,,,,,,,,,,
2014-15,Nuggets,30-52,0.366,,,,,,,,,,,,,,,,,
2014-15,Pacers,38-44,0.463,,,,,,,,,,,,,,,,,
2014-15,Pelicans,45-37,0.549,,,,,,,,,,,,,,,,,
2014-15,Pistons,32-50,0.39,,,,,,,,,,,,,,,,,
2014-15,Raptors,49-33,0.598,,,,,,,,,,,,,,,,,
2014-15,Rockets,56-26,0.683,,,,,,,,,,,,,,,,,
2014-15,Spurs,55-27,0.671,,,,,,,,,,,,,,,,,
2014-15,Suns,39-43,0.476,,,,,,,,,,,,,,,,,
2014-15,Thunder,45-37,0.549,,,,,,,,,,,,,,,,,
2014-15,Timberwolves,16-66,0.195,,,,,,,,,,,,,,,,,
2014-15,Trail Blazers,51-31,0.622,,,,,,,,,,,,,,,,,
2014-15,Warriors,67-15,0.817,,,,,,,,,,,,,,,,,
2014-15,Wizards,46-36,0.561,,,,,,,,,,,,,,,,,
2013-14,76ers,19-63,0.232,,,,,,,,,,,,,,,,,
2013-14,Bobcats,43-39,0.524,,,,,,,,,,,,,,,,,
2013-14,Bucks,15-67,0.183,,,,,,,,,,,,,,,,,
2013-14,Bulls,48-34,0.585,,,,,,,,,,,,,,,,,
2013-14,Cavaliers,33-49,0.402,,,,,,,,,,,,,,,,,
2013-14,Celtics,25-57,0.305,,,,,,,,,,,,,,,,,
2013-14,Clippers,57-25,0.695,,,,,,,,,,,,,,,,,
2013-14,Grizzlies,50-32,0.61,,,,,,,,,,,,,,,,,
2013-14,Hawks,38-44,0.463,,,,,,,,,,,,,,,,,
2013-14,Heat,54-28,0.659,,,,,,,,,,,,,,,,,
2013-14,Jazz,25-57,0.305,,,,,,,,,,,,,,,,,
2013-14,Kings,28-54,0.341,,,,,,,,,,,,,,,,,
2013-14,Knicks,37-45,0.451,,,,,,,,,,,,,,,,,
2013-14,Lakers,27-55,0.329,,,,,,,,,,,,,,,,,
2013-14,Magic,23-59,0.28,,,,,,,,,,,,,,,,,
2013-14,Mavericks,49-33,0.598,,,,,,,,,,,,,,,,,
2013-14,Nets,44-38,0.537,,,,,,,,,,,,,,,,,
2013-14,Nuggets,36-46,0.439,,,,,,,,,,,,,,,,,
2013-14,Pacers,56-26,0.683,,,,,,,,,,,,,,,,,
2013-14,Pelicans,34-48,0.415,,,,,,,,,,,,,,,,,
2013-14,Pistons,29-53,0.354,,,,,,,,,,,,,,,,,
2013-14,Raptors,48-34,0.585,,,,,,,,,,,,,,,,,
2013-14,Rockets,54-28,0.659,,,,,,,,,,,,,,,,,
2013-14,Spurs,62-20,0.756,,,,,,,,,,,,,,,,,
2013-14,Suns,48-34,0.585,,,,,,,,,,,,,,,,,
2013-14,Thunder,59-23,0.72,,,,,,,,,,,,,,,,,
2013-14,Timberwolves,40-42,0.488,,,,,,,,,,,,,,,,,
2013-14,Trail Blazers,54-28,0.659,,,,,,,,,,,,,,,,,
2013-14,Warriors,51-31,0.622,,,,,,,,,,,,,,,,,
2013-14,Wizards,44-38,0.537,,,,,,,,,,,,,,,,,
2012-13,76ers,34-48,0.415,,,,,,,,,,,,,,,,,
2012-13,Bobcats,21-61,0.256,,,,,,,,,,,,,,,,,
2012-13,Bucks,38-44,0.463,,,,,,,,,,,,,,,,,
2012-13,Bulls,45-37,0.549,,,,,,,,,,,,,,,,,
2012-13,Cavaliers,24-58,0.293,,,,,,,,,,,,,,,,,
2012-13,Celtics,41-40,0.506,,,,,,,,,,,,,,,,,
2012-13,Clippers,56-26,0.683,,,,,,,,,,,,,,,,,
2012-13,Grizzlies,56-26,0.683,,,,,,,,,,,,,,,,,
2012-13,Hawks,44-38,0.537,,,,,,,,,,,,,,,,,
2012-13,Heat,66-16,0.805,,,,,,,,,,,,,,,,,
2012-13,Hornets,27-55,0.329,,,,,,,,,,,,,,,,,
2012-13,Jazz,43-39,0.524,,,,,,,,,,,,,,,,,
2012-13,Kings,28-54,0.341,,,,,,,,,,,,,,,,,
2012-13,Knicks,54-28,0.659,,,,,,,,,,,,,,,,,
2012-13,Lakers,45-37,0.549,,,,,,,,,,,,,,,,,
2012-13,Magic,20-62,0.244,,,,,,,,,,,,,,,,,
2012-13,Mavericks,41-41,0.5,,,,,,,,,,,,,,,,,
2012-13,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
2012-13,Nuggets,57-25,0.695,,,,,,,,,,,,,,,,,
2012-13,Pacers,49-32,0.605,,,,,,,,,,,,,,,,,
2012-13,Pistons,29-53,0.354,,,,,,,,,,,,,,,,,
2012-13,Raptors,34-48,0.415,,,,,,,,,,,,,,,,,
2012-13,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2012-13,Spurs,58-24,0.707,,,,,,,,,,,,,,,,,
2012-13,Suns,25-57,0.305,,,,,,,,,,,,,,,,,
2012-13,Thunder,60-22,0.732,,,,,,,,,,,,,,,,,
2012-13,Timberwolves,31-51,0.378,,,,,,,,,,,,,,,,,
2012-13,Trail Blazers,33-49,0.402,,,,,,,,,,,,,,,,,
2012-13,Warriors,47-35,0.573,,,,,,,,,,,,,,,,,
2012-13,Wizards,29-53,0.354,,,,,,,,,,,,,,,,,
2011-12 *,76ers,35-31,0.53,,,,,,,,,,,,,,,,,
2011-12 *,Bobcats,7-59,0.106,,,,,,,,,,,,,,,,,
2011-12 *,Bucks,31-35,0.47,,,,,,,,,,,,,,,,,
2011-12 *,Bulls,50-16,0.758,,,,,,,,,,,,,,,,,
2011-12 *,Cavaliers,21-45,0.318,,,,,,,,,,,,,,,,,
2011-12 *,Celtics,39-27,0.591,,,,,,,,,,,,,,,,,
2011-12 *,Clippers,40-26,0.606,,,,,,,,,,,,,,,,,
2011-12 *,Grizzlies,41-25,0.621,,,,,,,,,,,,,,,,,
2011-12 *,Hawks,40-26,0.606,,,,,,,,,,,,,,,,,
2011-12 *,Heat,46-20,0.697,,,,,,,,,,,,,,,,,
2011-12 *,Hornets,21-45,0.318,,,,,,,,,,,,,,,,,
2011-12 *,Jazz,36-30,0.545,,,,,,,,,,,,,,,,,
2011-12 *,Kings,22-44,0.333,,,,,,,,,,,,,,,,,
2011-12 *,Knicks,36-30,0.545,,,,,,,,,,,,,,,,,
2011-12 *,Lakers,41-25,0.621,,,,,,,,,,,,,,,,,
2011-12 *,Magic,37-29,0.561,,,,,,,,,,,,,,,,,
2011-12 *,Mavericks,36-30,0.545,,,,,,,,,,,,,,,,,
2011-12 *,Nets,22-44,0.333,,,,,,,,,,,,,,,,,
2011-12 *,Nuggets,38-28,0.576,,,,,,,,,,,,,,,,,
2011-12 *,Pacers,42-24,0.636,,,,,,,,,,,,,,,,,
2011-12 *,Pistons,25-41,0.379,,,,,,,,,,,,,,,,,
2011-12 *,Raptors,23-43,0.348,,,,,,,,,,,,,,,,,
2011-12 *,Rockets,34-32,0.515,,,,,,,,,,,,,,,,,
2011-12 *,Spurs,50-16,0.758,,,,,,,,,,,,,,,,,
2011-12 *,Suns,33-33,0.5,,,,,,,,,,,,,,,,,
2011-12 *,Thunder,47-19,0.712,,,,,,,,,,,,,,,,,
2011-12 *,Timberwolves,26-40,0.394,,,,,,,,,,,,,,,,,
2011-12 *,Trail Blazers,28-38,0.424,,,,,,,,,,,,,,,,,
2011-12 *,Warriors,23-43,0.348,,,,,,,,,,,,,,,,,
2011-12 *,Wizards,20-46,0.303,,,,,,,,,,,,,,,,,
1999-00,76ers,49-33,0.598,,,,,,,,,,,,,,,,,
1999-00,Bucks,42-40,0.512,,,,,,,,,,,,,,,,,
1999-00,Bulls,17-65,0.207,,,,,,,,,,,,,,,,,
1999-00,Cavaliers,32-50,0.39,,,,,,,,,,,,,,,,,
1999-00,Celtics,35-47,0.427,,,,,,,,,,,,,,,,,
1999-00,Clippers,15-67,0.183,,,,,,,,,,,,,,,,,
1999-00,Grizzlies,22-60,0.268,,,,,,,,,,,,,,,,,
1999-00,Hawks,28-54,0.341,,,,,,,,,,,,,,,,,
1999-00,Heat,52-30,0.634,,,,,,2010-11,,,,,,,,,,,
1999-00,Hornets,49-33,0.598,,,,,,2009-10,,,,,,,,,,,
1999-00,Jazz,55-27,0.671,,,,,,2008-09,,,,,,,,,,,
1999-00,Kings,44-38,0.537,,,,,,2007-08,,,,,,,,,,,
1999-00,Knicks,50-32,0.61,,,,,,2006-07,,,,,,,,,,,
1999-00,Lakers,67-15,0.817,,,,,,2005-06,,,,,,,,,,,
1999-00,Magic,41-41,0.5,,,,,,2004-05,,,,,,,,,,,
1999-00,Mavericks,40-42,0.488,,,,,,2003-04,,,,,,,,,,,
1999-00,Nets,31-51,0.378,,,,,,2002-03,,,,,,,,,,,
1999-00,Nuggets,35-47,0.427,,,,,,2001-02,,,,,,,,,,,
1999-00,Pacers,56-26,0.683,,,,,,2000-01,,,,,,,,,,,
1999-00,Pistons,42-40,0.512,,,,,,,,,,,,,,,,,
1999-00,Raptors,45-37,0.549,,,,,,,,,,,,,,,,,
1999-00,Rockets,34-48,0.415,,,,,,,,,,,,,,,,,
1999-00,Spurs,53-29,0.646,,,,,,,,,,,,,,,,,
1999-00,Suns,53-29,0.646,,,,,,,,,,,,,,,,,
1999-00,Supersonics,45-37,0.549,,,,,,,,,,,,,,,,,
1999-00,Timberwolves,50-32,0.61,,,,,,,,,,,,,,,,,
1999-00,Trail Blazers,59-23,0.72,,,,,,,,,,,,,,,,,
1999-00,Warriors,19-63,0.232,,,,,,,,,,,,,,,,,
1999-00,Wizards,29-53,0.354,,,,,,,,,,,,,,,,,
1998-99 *,76ers,28-22,0.56,,,,,,,,,,,,,,,,,
1998-99 *,Bucks,28-22,0.56,,,,,,,,,,,,,,,,,
1998-99 *,Bulls,13-37,0.26,,,,,,,,,,,,,,,,,
1998-99 *,Cavaliers,22-28,0.44,,,,,,,,,,,,,,,,,
1998-99 *,Celtics,19-31,0.38,,,,,,,,,,,,,,,,,
1998-99 *,Clippers,9-41,0.18,,,,,,,,,,,,,,,,,
1998-99 *,Grizzlies,8-42,0.16,,,,,,,,,,,,,,,,,
1998-99 *,Hawks,31-19,0.62,,,,,,,,,,,,,,,,,
1998-99 *,Heat,33-17,0.66,,,,,,,,,,,,,,,,,
1998-99 *,Hornets,26-24,0.52,,,,,,,,,,,,,,,,,
1998-99 *,Jazz,37-13,0.74,,,,,,,,,,,,,,,,,
1998-99 *,Kings,27-23,0.54,,,,,,,,,,,,,,,,,
1998-99 *,Knicks,27-23,0.54,,,,,,,,,,,,,,,,,
1998-99 *,Lakers,31-19,0.62,,,,,,,,,,,,,,,,,
1998-99 *,Magic,33-17,0.66,,,,,,,,,,,,,,,,,
1998-99 *,Mavericks,19-31,0.38,,,,,,,,,,,,,,,,,
1998-99 *,Nets,16-34,0.32,,,,,,,,,,,,,,,,,
1998-99 *,Nuggets,14-36,0.28,,,,,,,,,,,,,,,,,
1998-99 *,Pacers,33-17,0.66,,,,,,,,,,,,,,,,,
1998-99 *,Pistons,29-21,0.58,,,,,,,,,,,,,,,,,
1998-99 *,Raptors,23-27,0.46,,,,,,,,,,,,,,,,,
1998-99 *,Rockets,31-19,0.62,,,,,,,,,,,,,,,,,
1998-99 *,Spurs,37-13,0.74,,,,,,,,,,,,,,,,,
1998-99 *,Suns,27-23,0.54,,,,,,,,,,,,,,,,,
1998-99 *,Supersonics,25-25,0.5,,,,,,,,,,,,,,,,,
1998-99 *,Timberwolves,25-25,0.5,,,,,,,,,,,,,,,,,
1998-99 *,Trail Blazers,35-15,0.7,,,,,,,,,,,,,,,,,
1998-99 *,Warriors,21-29,0.42,,,,,,,,,,,,,,,,,
1998-99 *,Wizards,18-32,0.36,,,,,,,,,,,,,,,,,
1997-98,76ers,31-51,0.378,,,,,,,,,,,,,,,,,
1997-98,Bucks,36-46,0.439,,,,,,,,,,,,,,,,,
1997-98,Bulls,62-20,0.756,,,,,,,,,,,,,,,,,
1997-98,Cavaliers,47-35,0.573,,,,,,,,,,,,,,,,,
1997-98,Celtics,36-46,0.439,,,,,,,,,,,,,,,,,
1997-98,Clippers,17-65,0.207,,,,,,,,,,,,,,,,,
1997-98,Grizzlies,19-63,0.232,,,,,,,,,,,,,,,,,
1997-98,Hawks,50-32,0.61,,,,,,,,,,,,,,,,,
1997-98,Heat,55-27,0.671,,,,,,,,,,,,,,,,,
1997-98,Hornets,51-31,0.622,,,,,,,,,,,,,,,,,
1997-98,Jazz,62-20,0.756,,,,,,,,,,,,,,,,,
1997-98,Kings,27-55,0.329,,,,,,,,,,,,,,,,,
1997-98,Knicks,43-39,0.524,,,,,,,,,,,,,,,,,
1997-98,Lakers,61-21,0.744,,,,,,,,,,,,,,,,,
1997-98,Magic,41-41,0.5,,,,,,,,,,,,,,,,,
1997-98,Mavericks,20-62,0.244,,,,,,,,,,,,,,,,,
1997-98,Nets,43-39,0.524,,,,,,,,,,,,,,,,,
1997-98,Nuggets,11-71,0.134,,,,,,,,,,,,,,,,,
1997-98,Pacers,58-24,0.707,,,,,,,,,,,,,,,,,
1997-98,Pistons,37-45,0.451,,,,,,,,,,,,,,,,,
1997-98,Raptors,16-66,0.195,,,,,,,,,,,,,,,,,
1997-98,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
1997-98,Spurs,56-26,0.683,,,,,,,,,,,,,,,,,
1997-98,Suns,56-26,0.683,,,,,,,,,,,,,,,,,
1997-98,Supersonics,61-21,0.744,,,,,,,,,,,,,,,,,
1997-98,Timberwolves,45-37,0.549,,,,,,,,,,,,,,,,,
1997-98,Trail Blazers,46-36,0.561,,,,,,,,,,,,,,,,,
1997-98,Warriors,19-63,0.232,,,,,,,,,,,,,,,,,
1997-98,Wizards,42-40,0.512,,,,,,,,,,,,,,,,,
1996-97,76ers,22-60,0.268,,,,,,,,,,,,,,,,,
1996-97,Bucks,33-49,0.402,,,,,,,,,,,,,,,,,
1996-97,Bullets,44-38,0.537,,,,,,,,,,,,,,,,,
1996-97,Bulls,69-13,0.841,,,,,,,,,,,,,,,,,
1996-97,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
1996-97,Celtics,15-67,0.183,,,,,,,,,,,,,,,,,
1996-97,Clippers,36-46,0.439,,,,,,,,,,,,,,,,,
1996-97,Grizzlies,14-68,0.171,,,,,,,,,,,,,,,,,
1996-97,Hawks,56-26,0.683,,,,,,,,,,,,,,,,,
1996-97,Heat,61-21,0.744,,,,,,,,,,,,,,,,,
1996-97,Hornets,54-28,0.659,,,,,,,,,,,,,,,,,
1996-97,Jazz,64-18,0.78,,,,,,,,,,,,,,,,,
1996-97,Kings,34-48,0.415,,,,,,,,,,,,,,,,,
1996-97,Knicks,57-25,0.695,,,,,,,,,,,,,,,,,
1996-97,Lakers,56-26,0.683,,,,,,,,,,,,,,,,,
1996-97,Magic,45-37,0.549,,,,,,,,,,,,,,,,,
1996-97,Mavericks,24-58,0.293,,,,,,,,,,,,,,,,,
1996-97,Nets,26-56,0.317,,,,,,,,,,,,,,,,,
1996-97,Nuggets,21-61,0.256,,,,,,,,,,,,,,,,,
1996-97,Pacers,39-43,0.476,,,,,,,,,,,,,,,,,
1996-97,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
1996-97,Raptors,30-52,0.366,,,,,,,,,,,,,,,,,
1996-97,Rockets,57-25,0.695,,,,,,,,,,,,,,,,,
1996-97,Spurs,20-62,0.244,,,,,,,,,,,,,,,,,
1996-97,Suns,40-42,0.488,,,,,,,,,,,,,,,,,
1996-97,Supersonics,57-25,0.695,,,,,,,,,,,,,,,,,
1996-97,Timberwolves,40-42,0.488,,,,,,,,,,,,,,,,,
1996-97,Trail Blazers,49-33,0.598,,,,,,,,,,,,,,,,,
1996-97,Warriors,30-52,0.366,,,,,,,,,,,,,,,,,
1995-96,76ers,18-64,0.22,,,,,,,,,,,,,,,,,
1995-96,Bucks,25-57,0.305,,,,,,,,,,,,,,,,,
1995-96,Bullets,39-43,0.476,,,,,,,,,,,,,,,,,
1995-96,Bulls,72-10,0.878,,,,,,,,,,,,,,,,,
1995-96,Cavaliers,47-35,0.573,,,,,,,,,,,,,,,,,
1995-96,Celtics,33-49,0.402,,,,,,,,,,,,,,,,,
1995-96,Clippers,29-53,0.354,,,,,,,,,,,,,,,,,
1995-96,Grizzlies,15-67,0.183,,,,,,,,,,,,,,,,,
1995-96,Hawks,46-36,0.561,,,,,,,,,,,,,,,,,
1995-96,Heat,42-40,0.512,,,,,,,,,,,,,,,,,
1995-96,Hornets,41-41,0.5,,,,,,,,,,,,,,,,,
1995-96,Jazz,55-27,0.671,,,,,,,,,,,,,,,,,
1995-96,Kings,39-43,0.476,,,,,,,,,,,,,,,,,
1995-96,Knicks,47-35,0.573,,,,,,,,,,,,,,,,,
1995-96,Lakers,53-29,0.646,,,,,,,,,,,,,,,,,
1995-96,Magic,60-22,0.732,,,,,,,,,,,,,,,,,
1995-96,Mavericks,26-56,0.317,,,,,,,,,,,,,,,,,
1995-96,Nets,30-52,0.366,,,,,,,,,,,,,,,,,
1995-96,Nuggets,35-47,0.427,,,,,,,,,,,,,,,,,
1995-96,Pacers,52-30,0.634,,,,,,,,,,,,,,,,,
1995-96,Pistons,46-36,0.561,,,,,,,,,,,,,,,,,
1995-96,Raptors,21-61,0.256,,,,,,,,,,,,,,,,,
1995-96,Rockets,48-34,0.585,,,,,,,,,,,,,,,,,
1995-96,Spurs,59-23,0.72,,,,,,,,,,,,,,,,,
1995-96,Suns,41-41,0.5,,,,,,,,,,,,,,,,,
1995-96,Supersonics,64-18,0.78,,,,,,,,,,,,,,,,,
1995-96,Timberwolves,26-56,0.317,,,,,,,,,,,,,,,,,
1995-96,Trail Blazers,44-38,0.537,,,,,,,,,,,,,,,,,
1995-96,Warriors,36-46,0.439,,,,,,,,,,,,,,,,,
1994-95,76ers,24-58,0.293,,,,,,,,,,,,,,,,,
1994-95,Bucks,34-48,0.415,,,,,,,,,,,,,,,,,
1994-95,Bullets,21-61,0.256,,,,,,,,,,,,,,,,,
1994-95,Bulls,47-35,0.573,,,,,,,,,,,,,,,,,
1994-95,Cavaliers,43-39,0.524,,,,,,,,,,,,,,,,,
1994-95,Celtics,35-47,0.427,,,,,,,,,,,,,,,,,
1994-95,Clippers,17-65,0.207,,,,,,,,,,,,,,,,,
1994-95,Hawks,42-40,0.512,,,,,,,,,,,,,,,,,
1994-95,Heat,32-50,0.39,,,,,,,,,,,,,,,,,
1994-95,Hornets,50-32,0.61,,,,,,,,,,,,,,,,,
1994-95,Jazz,60-22,0.732,,,,,,,,,,,,,,,,,
1994-95,Kings,39-43,0.476,,,,,,,,,,,,,,,,,
1994-95,Knicks,55-27,0.671,,,,,,,,,,,,,,,,,
