Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
1994-95,Lakers,48-34,0.585,,,,,,,,,,,,,,,,,
1994-95,Magic,57-25,0.695,,,,,,,,,,,,,,,,,
1994-95,Mavericks,36-46,0.439,,,,,,,,,,,,,,,,,
1994-95,Nets,30-52,0.366,,,,,,,,,,,,,,,,,
1994-95,Nuggets,41-41,0.5,,,,,,,,,,,,,,,,,
1994-95,Pacers,52-30,0.634,,,,,,,,,,,,,,,,,
1994-95,Pistons,28-54,0.341,,,,,,,,,,,,,,,,,
1994-95,Rockets,47-35,0.573,,,,,,,,,,,,,,,,,
1994-95,Spurs,62-20,0.756,,,,,,,,,,,,,,,,,
1994-95,Suns,59-23,0.72,,,,,,,,,,,,,,,,,
1994-95,Supersonics,57-25,0.695,,,,,,,,,,,,,,,,,
1994-95,Timberwolves,21-61,0.256,,,,,,,,,,,,,,,,,
1994-95,Trail Blazers,44-38,0.537,,,,,,,,,,,,,,,,,
1994-95,Warriors,26-56,0.317,,,,,,,,,,,,,,,,,
1993-94,76ers,25-57,0.305,,,,,,,,,,,,,,,,,
1993-94,Bucks,20-62,0.244,,,,,,,,,,,,,,,,,
1993-94,Bullets,24-58,0.293,,,,,,,,,,,,,,,,,
1993-94,Bulls,55-27,0.671,,,,,,,,,,,,,,,,,
1993-94,Cavaliers,47-35,0.573,,,,,,,,,,,,,,,,,
1993-94,Celtics,32-50,0.39,,,,,,,,,,,,,,,,,
1993-94,Clippers,27-55,0.329,,,,,,,,,,,,,,,,,
1993-94,Hawks,57-25,0.695,,,,,,,,,,,,,,,,,
1993-94,Heat,42-40,0.512,,,,,,,,,,,,,,,,,
1993-94,Hornets,41-41,0.5,,,,,,,,,,,,,,,,,
1993-94,Jazz,53-29,0.646,,,,,,,,,,,,,,,,,
1993-94,Kings,28-54,0.341,,,,,,,,,,,,,,,,,
1993-94,Knicks,57-25,0.695,,,,,,,,,,,,,,,,,
1993-94,Lakers,33-49,0.402,,,,,,,,,,,,,,,,,
1993-94,Magic,50-32,0.61,,,,,,,,,,,,,,,,,
1993-94,Mavericks,13-69,0.159,,,,,,,,,,,,,,,,,
1993-94,Nets,45-37,0.549,,,,,,,,,,,,,,,,,
1993-94,Nuggets,42-40,0.512,,,,,,,,,,,,,,,,,
1993-94,Pacers,47-35,0.573,,,,,,,,,,,,,,,,,
1993-94,Pistons,20-62,0.244,,,,,,,,,,,,,,,,,
1993-94,Rockets,58-24,0.707,,,,,,,,,,,,,,,,,
1993-94,Spurs,55-27,0.671,,,,,,,,,,,,,,,,,
1993-94,Suns,56-26,0.683,,,,,,,,,,,,,,,,,
1993-94,Supersonics,63-19,0.768,,,,,,,,,,,,,,,,,
1993-94,Timberwolves,20-62,0.244,,,,,,,,,,,,,,,,,
1993-94,Trail Blazers,47-35,0.573,,,,,,,,,,,,,,,,,
1993-94,Warriors,50-32,0.61,,,,,,,,,,,,,,,,,
1992-93,76ers,26-56,0.317,,,,,,,,,,,,,,,,,
1992-93,Bucks,28-54,0.341,,,,,,,,,,,,,,,,,
1992-93,Bullets,22-60,0.268,,,,,,,,,,,,,,,,,
1992-93,Bulls,57-25,0.695,,,,,,,,,,,,,,,,,
1992-93,Cavaliers,54-28,0.659,,,,,,,,,,,,,,,,,
1992-93,Celtics,48-34,0.585,,,,,,,,,,,,,,,,,
1992-93,Clippers,41-41,0.5,,,,,,,,,,,,,,,,,
1992-93,Hawks,43-39,0.524,,,,,,,,,,,,,,,,,
1992-93,Heat,36-46,0.439,,,,,,,,,,,,,,,,,
1992-93,Hornets,44-38,0.537,,,,,,,,,,,,,,,,,
1992-93,Jazz,47-35,0.573,,,,,,,,,,,,,,,,,
1992-93,Kings,25-57,0.305,,,,,,,,,,,,,,,,,
1992-93,Knicks,60-22,0.732,,,,,,,,,,,,,,,,,
1992-93,Lakers,39-43,0.476,,,,,,,,,,,,,,,,,
1992-93,Magic,41-41,0.5,,,,,,,,,,,,,,,,,
1992-93,Mavericks,11-71,0.134,,,,,,,,,,,,,,,,,
1992-93,Nets,43-39,0.524,,,,,,,,,,,,,,,,,
1992-93,Nuggets,36-46,0.439,,,,,,,,,,,,,,,,,
1992-93,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
1992-93,Pistons,40-42,0.488,,,,,,,,,,,,,,,,,
1992-93,Rockets,55-27,0.671,,,,,,,,,,,,,,,,,
1992-93,Spurs,49-33,0.598,,,,,,,,,,,,,,,,,
1992-93,Suns,62-20,0.756,,,,,,,,,,,,,,,,,
1992-93,Supersonics,55-27,0.671,,,,,,,,,,,,,,,,,
1992-93,Timberwolves,19-63,0.232,,,,,,,,,,,,,,,,,
1992-93,Trail Blazers,51-31,0.622,,,,,,,,,,,,,,,,,
1992-93,Warriors,34-48,0.415,,,,,,,,,,,,,,,,,
1991-92,76ers,35-47,0.427,,,,,,,,,,,,,,,,,
1991-92,Bucks,31-51,0.378,,,,,,,,,,,,,,,,,
1991-92,Bullets,25-57,0.305,,,,,,,,,,,,,,,,,
1991-92,Bulls,67-15,0.817,,,,,,,,,,,,,,,,,
1991-92,Cavaliers,57-25,0.695,,,,,,,,,,,,,,,,,
1991-92,Celtics,51-31,0.622,,,,,,,,,,,,,,,,,
1991-92,Clippers,45-37,0.549,,,,,,,,,,,,,,,,,
1991-92,Hawks,38-44,0.463,,,,,,,,,,,,,,,,,
1991-92,Heat,38-44,0.463,,,,,,,,,,,,,,,,,
1991-92,Hornets,31-51,0.378,,,,,,,,,,,,,,,,,
1991-92,Jazz,55-27,0.671,,,,,,,,,,,,,,,,,
1991-92,Kings,29-53,0.354,,,,,,,,,,,,,,,,,
1991-92,Knicks,51-31,0.622,,,,,,,,,,,,,,,,,
1991-92,Lakers,43-39,0.524,,,,,,,,,,,,,,,,,
1991-92,Magic,21-61,0.256,,,,,,,,,,,,,,,,,
1991-92,Mavericks,22-60,0.268,,,,,,,,,,,,,,,,,
1991-92,Nets,40-42,0.488,,,,,,,,,,,,,,,,,
1991-92,Nuggets,24-58,0.293,,,,,,,,,,,,,,,,,
1991-92,Pacers,40-42,0.488,,,,,,,,,,,,,,,,,
1991-92,Pistons,48-34,0.585,,,,,,,,,,,,,,,,,
1991-92,Rockets,42-40,0.512,,,,,,,,,,,,,,,,,
1991-92,Spurs,47-35,0.573,,,,,,,,,,,,,,,,,
1991-92,Suns,53-29,0.646,,,,,,,,,,,,,,,,,
1991-92,Supersonics,47-35,0.573,,,,,,,,,,,,,,,,,
1991-92,Timberwolves,15-67,0.183,,,,,,,,,,,,,,,,,
1991-92,Trail Blazers,57-25,0.695,,,,,,,,,,,,,,,,,
1991-92,Warriors,55-27,0.671,,,,,,,,,,,,,,,,,
1990-91,76ers,44-38,0.537,,,,,,,,,,,,,,,,,
1990-91,Bucks,48-34,0.585,,,,,,,,,,,,,,,,,
1990-91,Bullets,30-52,0.366,,,,,,,,,,,,,,,,,
1990-91,Bulls,61-21,0.744,,,,,,,,,,,,,,,,,
1990-91,Cavaliers,33-49,0.402,,,,,,,,,,,,,,,,,
1990-91,Celtics,56-26,0.683,,,,,,,,,,,,,,,,,
1990-91,Clippers,31-51,0.378,,,,,,,,,,,,,,,,,
1990-91,Hawks,43-39,0.524,,,,,,,,,,,,,,,,,
1990-91,Heat,24-58,0.293,,,,,,,,,,,,,,,,,
1990-91,Hornets,26-56,0.317,,,,,,,,,,,,,,,,,
1990-91,Jazz,54-28,0.659,,,,,,,,,,,,,,,,,
1990-91,Kings,25-57,0.305,,,,,,,,,,,,,,,,,
1990-91,Knicks,39-43,0.476,,,,,,,,,,,,,,,,,
1990-91,Lakers,58-24,0.707,,,,,,,,,,,,,,,,,
1990-91,Magic,31-51,0.378,,,,,,,,,,,,,,,,,
1990-91,Mavericks,28-54,0.341,,,,,,,,,,,,,,,,,
1990-91,Nets,26-56,0.317,,,,,,,,,,,,,,,,,
1990-91,Nuggets,20-62,0.244,,,,,,,,,,,,,,,,,
1990-91,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
1990-91,Pistons,50-32,0.61,,,,,,,,,,,,,,,,,
1990-91,Rockets,52-30,0.634,,,,,,,,,,,,,,,,,
1990-91,Spurs,55-27,0.671,,,,,,,,,,,,,,,,,
1990-91,Suns,55-27,0.671,,,,,,,,,,,,,,,,,
1990-91,Supersonics,41-41,0.5,,,,,,,,,,,,,,,,,
1990-91,Timberwolves,29-53,0.354,,,,,,,,,,,,,,,,,
1990-91,Trail Blazers,63-19,0.768,,,,,,,,,,,,,,,,,
1990-91,Warriors,44-38,0.537,,,,,,,,,,,,,,,,,
1989-90,76ers,53-29,0.646,,,,,,,,,,,,,,,,,
1989-90,Bucks,44-38,0.537,,,,,,,,,,,,,,,,,
1989-90,Bullets,31-51,0.378,,,,,,,,,,,,,,,,,
1989-90,Bulls,55-27,0.671,,,,,,,,,,,,,,,,,
1989-90,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
1989-90,Celtics,52-30,0.634,,,,,,,,,,,,,,,,,
1989-90,Clippers,30-52,0.366,,,,,,,,,,,,,,,,,
1989-90,Hawks,41-41,0.5,,,,,,,,,,,,,,,,,
1989-90,Heat,18-64,0.22,,,,,,,,,,,,,,,,,
1989-90,Hornets,19-63,0.232,,,,,,,,,,,,,,,,,
1989-90,Jazz,55-27,0.671,,,,,,,,,,,,,,,,,
1989-90,Kings,23-59,0.28,,,,,,,,,,,,,,,,,
1989-90,Knicks,45-37,0.549,,,,,,,,,,,,,,,,,
1989-90,Lakers,63-19,0.768,,,,,,,,,,,,,,,,,
1989-90,Magic,18-64,0.22,,,,,,,,,,,,,,,,,
1989-90,Mavericks,47-35,0.573,,,,,,,,,,,,,,,,,
1989-90,Nets,17-65,0.207,,,,,,,,,,,,,,,,,
1989-90,Nuggets,43-39,0.524,,,,,,,,,,,,,,,,,
1989-90,Pacers,42-40,0.512,,,,,,,,,,,,,,,,,
1989-90,Pistons,59-23,0.72,,,,,,,,,,,,,,,,,
1989-90,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
1989-90,Spurs,56-26,0.683,,,,,,,,,,,,,,,,,
1989-90,Suns,54-28,0.659,,,,,,,,,,,,,,,,,
1989-90,Supersonics,41-41,0.5,,,,,,,,,,,,,,,,,
1989-90,Timberwolves,22-60,0.268,,,,,,,,,,,,,,,,,
1989-90,Trail Blazers,59-23,0.72,,,,,,,,,,,,,,,,,
1989-90,Warriors,37-45,0.451,,,,,,,,,,,,,,,,,
1988-89,76ers,46-36,0.561,,,,,,,,,,,,,,,,,
1988-89,Bucks,49-33,0.598,,,,,,,,,,,,,,,,,
1988-89,Bullets,40-42,0.488,,,,,,,,,,,,,,,,,
1988-89,Bulls,47-35,0.573,,,,,,,,,,,,,,,,,
1988-89,Cavaliers,57-25,0.695,,,,,,,,,,,,,,,,,
1988-89,Celtics,42-40,0.512,,,,,,,,,,,,,,,,,
1988-89,Clippers,21-61,0.256,,,,,,,,,,,,,,,,,
1988-89,Hawks,52-30,0.634,,,,,,,,,,,,,,,,,
1988-89,Heat,15-67,0.183,,,,,,,,,,,,,,,,,
1988-89,Hornets,20-62,0.244,,,,,,,,,,,,,,,,,
1988-89,Jazz,51-31,0.622,,,,,,,,,,,,,,,,,
1988-89,Kings,27-55,0.329,,,,,,,,,,,,,,,,,
1988-89,Knicks,52-30,0.634,,,,,,,,,,,,,,,,,
1988-89,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
1988-89,Mavericks,38-44,0.463,,,,,,,,,,,,,,,,,
1988-89,Nets,26-56,0.317,,,,,,,,,,,,,,,,,
1988-89,Nuggets,44-38,0.537,,,,,,,,,,,,,,,,,
1988-89,Pacers,28-54,0.341,,,,,,,,,,,,,,,,,
1988-89,Pistons,63-19,0.768,,,,,,,,,,,,,,,,,
1988-89,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
1988-89,Spurs,21-61,0.256,,,,,,,,,,,,,,,,,
1988-89,Suns,55-27,0.671,,,,,,,,,,,,,,,,,
1988-89,Supersonics,47-35,0.573,,,,,,,,,,,,,,,,,
1988-89,Trail Blazers,39-43,0.476,,,,,,,,,,,,,,,,,
1988-89,Warriors,43-39,0.524,,,,,,,,,,,,,,,,,
1987-88,76ers,36-46,0.439,,,,,,,,,,,,,,,,,
1987-88,Bucks,42-40,0.512,,,,,,,,,,,,,,,,,
1987-88,Bullets,38-44,0.463,,,,,,,,,,,,,,,,,
1987-88,Bulls,50-32,0.61,,,,,,,,,,,,,,,,,
1987-88,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
1987-88,Celtics,57-25,0.695,,,,,,,,,,,,,,,,,
1987-88,Clippers,17-65,0.207,,,,,,,,,,,,,,,,,
1987-88,Hawks,50-32,0.61,,,,,,,,,,,,,,,,,
1987-88,Jazz,47-35,0.573,,,,,,,,,,,,,,,,,
1987-88,Kings,24-58,0.293,,,,,,,,,,,,,,,,,
1987-88,Knicks,38-44,0.463,,,,,,,,,,,,,,,,,
1987-88,Lakers,62-20,0.756,,,,,,,,,,,,,,,,,
1987-88,Mavericks,53-29,0.646,,,,,,,,,,,,,,,,,
1987-88,Nets,19-63,0.232,,,,,,,,,,,,,,,,,
1987-88,Nuggets,54-28,0.659,,,,,,,,,,,,,,,,,
1987-88,Pacers,38-44,0.463,,,,,,,,,,,,,,,,,
1987-88,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
1987-88,Rockets,46-36,0.561,,,,,,,,,,,,,,,,,
1987-88,Spurs,31-51,0.378,,,,,,,,,,,,,,,,,
1987-88,Suns,28-54,0.341,,,,,,,,,,,,,,,,,
1987-88,Supersonics,44-38,0.537,,,,,,,,,,,,,,,,,
1987-88,Trail Blazers,53-29,0.646,,,,,,,,,,,,,,,,,
1987-88,Warriors,20-62,0.244,,,,,,,,,,,,,,,,,
1986-87,76ers,45-37,0.549,,,,,,,,,,,,,,,,,
1986-87,Bucks,50-32,0.61,,,,,,,,,,,,,,,,,
1986-87,Bullets,42-40,0.512,,,,,,,,,,,,,,,,,
1986-87,Bulls,40-42,0.488,,,,,,,,,,,,,,,,,
1986-87,Cavaliers,31-51,0.378,,,,,,,,,,,,,,,,,
1986-87,Celtics,59-23,0.72,,,,,,,,,,,,,,,,,
1986-87,Clippers,12-70,0.146,,,,,,,,,,,,,,,,,
1986-87,Hawks,57-25,0.695,,,,,,,,,,,,,,,,,
1986-87,Jazz,44-38,0.537,,,,,,,,,,,,,,,,,
1986-87,Kings,29-53,0.354,,,,,,,,,,,,,,,,,
1986-87,Knicks,24-58,0.293,,,,,,,,,,,,,,,,,
1986-87,Lakers,65-17,0.793,,,,,,,,,,,,,,,,,
1986-87,Mavericks,55-27,0.671,,,,,,,,,,,,,,,,,
1986-87,Nets,24-58,0.293,,,,,,,,,,,,,,,,,
1986-87,Nuggets,37-45,0.451,,,,,,,,,,,,,,,,,
1986-87,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
1986-87,Pistons,52-30,0.634,,,,,,,,,,,,,,,,,
1986-87,Rockets,42-40,0.512,,,,,,,,,,,,,,,,,
1986-87,Spurs,28-54,0.341,,,,,,,,,,,,,,,,,
1986-87,Suns,36-46,0.439,,,,,,,,,,,,,,,,,
1986-87,Supersonics,39-43,0.476,,,,,,,,,,,,,,,,,
1986-87,Trail Blazers,49-33,0.598,,,,,,,,,,,,,,,,,
1986-87,Warriors,42-40,0.512,,,,,,,,,,,,,,,,,
1985-86,76ers,54-28,0.659,,,,,,,,,,,,,,,,,
1985-86,Bucks,57-25,0.695,,,,,,,,,,,,,,,,,
1985-86,Bullets,39-43,0.476,,,,,,,,,,,,,,,,,
1985-86,Bulls,30-52,0.366,,,,,,,,,,,,,,,,,
1985-86,Cavaliers,29-53,0.354,,,,,,,,,,,,,,,,,
1985-86,Celtics,67-15,0.817,,,,,,,,,,,,,,,,,
1985-86,Clippers,32-50,0.39,,,,,,,,,,,,,,,,,
1985-86,Hawks,50-32,0.61,,,,,,,,,,,,,,,,,
1985-86,Jazz,42-40,0.512,,,,,,,,,,,,,,,,,
1985-86,Kings,37-45,0.451,,,,,,,,,,,,,,,,,
1985-86,Knicks,23-59,0.28,,,,,,,,,,,,,,,,,
1985-86,Lakers,62-20,0.756,,,,,,,,,,,,,,,,,
1985-86,Mavericks,44-38,0.537,,,,,,,,,,,,,,,,,
1985-86,Nets,39-43,0.476,,,,,,,,,,,,,,,,,
1985-86,Nuggets,47-35,0.573,,,,,,,,,,,,,,,,,
1985-86,Pacers,26-56,0.317,,,,,,,,,,,,,,,,,
1985-86,Pistons,46-36,0.561,,,,,,,,,,,,,,,,,
1985-86,Rockets,51-31,0.622,,,,,,,,,,,,,,,,,
1985-86,Spurs,35-47,0.427,,,,,,,,,,,,,,,,,
1985-86,Suns,32-50,0.39,,,,,,,,,,,,,,,,,
1985-86,Supersonics,31-51,0.378,,,,,,,,,,,,,,,,,
1985-86,Trail Blazers,40-42,0.488,,,,,,,,,,,,,,,,,
1985-86,Warriors,30-52,0.366,,,,,,,,,,,,,,,,,
1984-85,76ers,58-24,0.707,,,,,,,,,,,,,,,,,
1984-85,Bucks,59-23,0.72,,,,,,,,,,,,,,,,,
1984-85,Bullets,40-42,0.488,,,,,,,,,,,,,,,,,
1984-85,Bulls,38-44,0.463,,,,,,,,,,,,,,,,,
1984-85,Cavaliers,36-46,0.439,,,,,,,,,,,,,,,,,
1984-85,Celtics,63-19,0.768,,,,,,,,,,,,,,,,,
1984-85,Clippers,31-51,0.378,,,,,,,,,,,,,,,,,
1984-85,Hawks,34-48,0.415,,,,,,,,,,,,,,,,,
1984-85,Jazz,41-41,0.5,,,,,,,,,,,,,,,,,
1984-85,Kings,31-51,0.378,,,,,,,,,,,,,,,,,
1984-85,Knicks,24-58,0.293,,,,,,,,,,,,,,,,,
1984-85,Lakers,62-20,0.756,,,,,,,,,,,,,,,,,
1984-85,Mavericks,44-38,0.537,,,,,,,,,,,,,,,,,
1984-85,Nets,42-40,0.512,,,,,,,,,,,,,,,,,
1984-85,Nuggets,52-30,0.634,,,,,,,,,,,,,,,,,
1984-85,Pacers,22-60,0.268,,,,,,,,,,,,,,,,,
1984-85,Pistons,46-36,0.561,,,,,,,,,,,,,,,,,
1984-85,Rockets,48-34,0.585,,,,,,,,,,,,,,,,,
1984-85,Spurs,41-41,0.5,,,,,,,,,,,,,,,,,
1984-85,Suns,36-46,0.439,,,,,,,,,,,,,,,,,
1984-85,Supersonics,31-51,0.378,,,,,,,,,,,,,,,,,
1984-85,Trail Blazers,42-40,0.512,,,,,,,,,,,,,,,,,
1984-85,Warriors,22-60,0.268,,,,,,,,,,,,,,,,,
1983-84,76ers,52-30,0.634,,,,,,,,,,,,,,,,,
1983-84,Bucks,50-32,0.61,,,,,,,,,,,,,,,,,
1983-84,Bullets,35-47,0.427,,,,,,,,,,,,,,,,,
1983-84,Bulls,27-55,0.329,,,,,,,,,,,,,,,,,
1983-84,Cavaliers,28-54,0.341,,,,,,,,,,,,,,,,,
1983-84,Celtics,62-20,0.756,,,,,,,,,,,,,,,,,
1983-84,Clippers,30-52,0.366,,,,,,,,,,,,,,,,,
1983-84,Hawks,40-42,0.488,,,,,,,,,,,,,,,,,
1983-84,Jazz,45-37,0.549,,,,,,,,,,,,,,,,,
1983-84,Kings,38-44,0.463,,,,,,,,,,,,,,,,,
1983-84,Knicks,47-35,0.573,,,,,,,,,,,,,,,,,
1983-84,Lakers,54-28,0.659,,,,,,,,,,,,,,,,,
1983-84,Mavericks,43-39,0.524,,,,,,,,,,,,,,,,,
1983-84,Nets,45-37,0.549,,,,,,,,,,,,,,,,,
1983-84,Nuggets,38-44,0.463,,,,,,,,,,,,,,,,,
1983-84,Pacers,26-56,0.317,,,,,,,,,,,,,,,,,
1983-84,Pistons,49-33,0.598,,,,,,,,,,,,,,,,,
1983-84,Rockets,29-53,0.354,,,,,,,,,,,,,,,,,
1983-84,Spurs,37-45,0.451,,,,,,,,,,,,,,,,,
1983-84,Suns,41-41,0.5,,,,,,,,,,,,,,,,,
1983-84,Supersonics,42-40,0.512,,,,,,,,,,,,,,,,,
1983-84,Trail Blazers,48-34,0.585,,,,,,,,,,,,,,,,,
1983-84,Warriors,37-45,0.451,,,,,,,,,,,,,,,,,
1982-83,76ers,65-17,0.793,,,,,,,,,,,,,,,,,
1982-83,Bucks,51-31,0.622,,,,,,,,,,,,,,,,,
1982-83,Bullets,42-40,0.512,,,,,,,,,,,,,,,,,
1982-83,Bulls,28-54,0.341,,,,,,,,,,,,,,,,,
1982-83,Cavaliers,23-59,0.28,,,,,,,,,,,,,,,,,
1982-83,Celtics,56-26,0.683,,,,,,,,,,,,,,,,,
1982-83,Clippers,25-57,0.305,,,,,,,,,,,,,,,,,
1982-83,Hawks,43-39,0.524,,,,,,,,,,,,,,,,,
1982-83,Jazz,30-52,0.366,,,,,,,,,,,,,,,,,
1982-83,Kings,45-37,0.549,,,,,,,,,,,,,,,,,
1982-83,Knicks,44-38,0.537,,,,,,,,,,,,,,,,,
1982-83,Lakers,58-24,0.707,,,,,,,,,,,,,,,,,
1982-83,Mavericks,38-44,0.463,,,,,,,,,,,,,,,,,
1982-83,Nets,49-33,0.598,,,,,,,,,,,,,,,,,
1982-83,Nuggets,45-37,0.549,,,,,,,,,,,,,,,,,
1982-83,Pacers,20-62,0.244,,,,,,,,,,,,,,,,,
1982-83,Pistons,37-45,0.451,,,,,,,,,,,,,,,,,
1982-83,Rockets,14-68,0.171,,,,,,,,,,,,,,,,,
1982-83,Spurs,53-29,0.646,,,,,,,,,,,,,,,,,
1982-83,Suns,53-29,0.646,,,,,,,,,,,,,,,,,
1982-83,Supersonics,48-34,0.585,,,,,,,,,,,,,,,,,
1982-83,Trail Blazers,46-36,0.561,,,,,,,,,,,,,,,,,
1982-83,Warriors,30-52,0.366,,,,,,,,,,,,,,,,,
1981-82,76ers,58-24,0.707,,,,,,,,,,,,,,,,,
1981-82,Bucks,55-27,0.671,,,,,,,,,,,,,,,,,
1981-82,Bullets,43-39,0.524,,,,,,,,,,,,,,,,,
1981-82,Bulls,34-48,0.415,,,,,,,,,,,,,,,,,
1981-82,Cavaliers,15-67,0.183,,,,,,,,,,,,,,,,,
1981-82,Celtics,63-19,0.768,,,,,,,,,,,,,,,,,
1981-82,Clippers,17-65,0.207,,,,,,,,,,,,,,,,,
1981-82,Hawks,42-40,0.512,,,,,,,,,,,,,,,,,
1981-82,Jazz,25-57,0.305,,,,,,,,,,,,,,,,,
1981-82,Kings,30-52,0.366,,,,,,,,,,,,,,,,,
1981-82,Knicks,33-49,0.402,,,,,,,,,,,,,,,,,
1981-82,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
1981-82,Mavericks,28-54,0.341,,,,,,,,,,,,,,,,,
1981-82,Nets,44-38,0.537,,,,,,,,,,,,,,,,,
1981-82,Nuggets,46-36,0.561,,,,,,,,,,,,,,,,,
1981-82,Pacers,35-47,0.427,,,,,,,,,,,,,,,,,
1981-82,Pistons,39-43,0.476,,,,,,,,,,,,,,,,,
1981-82,Rockets,46-36,0.561,,,,,,,,,,,,,,,,,
1981-82,Spurs,48-34,0.585,,,,,,,,,,,,,,,,,
1981-82,Suns,46-36,0.561,,,,,,,,,,,,,,,,,
1981-82,Supersonics,52-30,0.634,,,,,,,,,,,,,,,,,
1981-82,Trail Blazers,42-40,0.512,,,,,,,,,,,,,,,,,
1981-82,Warriors,45-37,0.549,,,,,,,,,,,,,,,,,
1980-81,76ers,62-20,0.756,,,,,,,,,,,,,,,,,
1980-81,Bucks,60-22,0.732,,,,,,,,,,,,,,,,,
1980-81,Bullets,39-43,0.476,,,,,,,,,,,,,,,,,
1980-81,Bulls,45-37,0.549,,,,,,,,,,,,,,,,,
1980-81,Cavaliers,28-54,0.341,,,,,,,,,,,,,,,,,
1980-81,Celtics,62-20,0.756,,,,,,,,,,,,,,,,,
