Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
1980-81,Clippers,36-46,0.439,,,,,,,,,,,,,,,,,
1980-81,Hawks,31-51,0.378,,,,,,,,,,,,,,,,,
1980-81,Jazz,28-54,0.341,,,,,,,,,,,,,,,,,
1980-81,Kings,40-42,0.488,,,,,,,,,,,,,,,,,
1980-81,Knicks,50-32,0.61,,,,,,,,,,,,,,,,,
1980-81,Lakers,54-28,0.659,,,,,,,,,,,,,,,,,
1980-81,Mavericks,15-67,0.183,,,,,,,,,,,,,,,,,
1980-81,Nets,24-58,0.293,,,,,,,,,,,,,,,,,
1980-81,Nuggets,37-45,0.451,,,,,,,,,,,,,,,,,
1980-81,Pacers,44-38,0.537,,,,,,,,,,,,,,,,,
1980-81,Pistons,21-61,0.256,,,,,,,,,,,,,,,,,
1980-81,Rockets,40-42,0.488,,,,,,,,,,,,,,,,,
1980-81,Spurs,52-30,0.634,,,,,,,,,,,,,,,,,
1980-81,Suns,57-25,0.695,,,,,,,,,,,,,,,,,
1980-81,Supersonics,34-48,0.415,,,,,,,,,,,,,,,,,
1980-81,Trail Blazers,45-37,0.549,,,,,,,,,,,,,,,,,
1980-81,Warriors,39-43,0.476,,,,,,,,,,,,,,,,,
1979-80,76ers,59-23,0.72,,,,,,,,,,,,,,,,,
1979-80,Bucks,49-33,0.598,,,,,,,,,,,,,,,,,
1979-80,Bullets,39-43,0.476,,,,,,,,,,,,,,,,,
1979-80,Bulls,30-52,0.366,,,,,,,,,,,,,,,,,
1979-80,Cavaliers,37-45,0.451,,,,,,,,,,,,,,,,,
1979-80,Celtics,61-21,0.744,,,,,,,,,,,,,,,,,
1979-80,Clippers,35-47,0.427,,,,,,,,,,,,,,,,,
1979-80,Hawks,50-32,0.61,,,,,,,,,,,,,,,,,
1979-80,Jazz,24-58,0.293,,,,,,,,,,,,,,,,,
1979-80,Kings,47-35,0.573,,,,,,,,,,,,,,,,,
1979-80,Knicks,39-43,0.476,,,,,,,,,,,,,,,,,
1979-80,Lakers,60-22,0.732,,,,,,,,,,,,,,,,,
1979-80,Nets,34-48,0.415,,,,,,,,,,,,,,,,,
1979-80,Nuggets,30-52,0.366,,,,,,,,,,,,,,,,,
1979-80,Pacers,37-45,0.451,,,,,,,,,,,,,,,,,
1979-80,Pistons,16-66,0.195,,,,,,,,,,,,,,,,,
1979-80,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
1979-80,Spurs,41-41,0.5,,,,,,,,,,,,,,,,,
1979-80,Suns,55-27,0.671,,,,,,,,,,,,,,,,,
1979-80,Supersonics,56-26,0.683,,,,,,,,,,,,,,,,,
1979-80,Trail Blazers,38-44,0.463,,,,,,,,,,,,,,,,,
1979-80,Warriors,24-58,0.293,,,,,,,,,,,,,,,,,
1978-79,76ers,47-35,0.573,,,,,,,,,,,,,,,,,
1978-79,Bucks,38-44,0.463,,,,,,,,,,,,,,,,,
1978-79,Bullets,54-28,0.659,,,,,,,,,,,,,,,,,
1978-79,Bulls,31-51,0.378,,,,,,,,,,,,,,,,,
1978-79,Cavaliers,30-52,0.366,,,,,,,,,,,,,,,,,
1978-79,Celtics,29-53,0.354,,,,,,,,,,,,,,,,,
1978-79,Clippers,43-39,0.524,,,,,,,,,,,,,,,,,
1978-79,Hawks,46-36,0.561,,,,,,,,,,,,,,,,,
1978-79,Jazz,26-56,0.317,,,,,,,,,,,,,,,,,
1978-79,Kings,48-34,0.585,,,,,,,,,,,,,,,,,
1978-79,Knicks,31-51,0.378,,,,,,,,,,,,,,,,,
1978-79,Lakers,47-35,0.573,,,,,,,,,,,,,,,,,
1978-79,Nets,37-45,0.451,,,,,,,,,,,,,,,,,
1978-79,Nuggets,47-35,0.573,,,,,,,,,,,,,,,,,
1978-79,Pacers,38-44,0.463,,,,,,,,,,,,,,,,,
1978-79,Pistons,30-52,0.366,,,,,,,,,,,,,,,,,
1978-79,Rockets,47-35,0.573,,,,,,,,,,,,,,,,,
1978-79,Spurs,48-34,0.585,,,,,,,,,,,,,,,,,
1978-79,Suns,50-32,0.61,,,,,,,,,,,,,,,,,
1978-79,Supersonics,52-30,0.634,,,,,,,,,,,,,,,,,
1978-79,Trail Blazers,45-37,0.549,,,,,,,,,,,,,,,,,
1978-79,Warriors,38-44,0.463,,,,,,,,,,,,,,,,,
1977-78,76ers,55-27,0.671,,,,,,,,,,,,,,,,,
1977-78,Braves,27-55,0.329,,,,,,,,,,,,,,,,,
1977-78,Bucks,44-38,0.537,,,,,,,,,,,,,,,,,
1977-78,Bullets,44-38,0.537,,,,,,,,,,,,,,,,,
1977-78,Bulls,40-42,0.488,,,,,,,,,,,,,,,,,
1977-78,Cavaliers,43-39,0.524,,,,,,,,,,,,,,,,,
1977-78,Celtics,32-50,0.39,,,,,,,,,,,,,,,,,
1977-78,Hawks,41-41,0.5,,,,,,,,,,,,,,,,,
1977-78,Jazz,39-43,0.476,,,,,,,,,,,,,,,,,
1977-78,Kings,31-51,0.378,,,,,,,,,,,,,,,,,
1977-78,Knicks,43-39,0.524,,,,,,,,,,,,,,,,,
1977-78,Lakers,45-37,0.549,,,,,,,,,,,,,,,,,
1977-78,Nets,24-58,0.293,,,,,,,,,,,,,,,,,
1977-78,Nuggets,48-34,0.585,,,,,,,,,,,,,,,,,
1977-78,Pacers,31-51,0.378,,,,,,,,,,,,,,,,,
1977-78,Pistons,38-44,0.463,,,,,,,,,,,,,,,,,
1977-78,Rockets,28-54,0.341,,,,,,,,,,,,,,,,,
1977-78,Spurs,52-30,0.634,,,,,,,,,,,,,,,,,
1977-78,Suns,49-33,0.598,,,,,,,,,,,,,,,,,
1977-78,Supersonics,47-35,0.573,,,,,,,,,,,,,,,,,
1977-78,Trail Blazers,58-24,0.707,,,,,,,,,,,,,,,,,
1977-78,Warriors,43-39,0.524,,,,,,,,,,,,,,,,,
1976-77,76ers,50-32,0.61,,,,,,,,,,,,,,,,,
1976-77,Braves,30-52,0.366,,,,,,,,,,,,,,,,,
1976-77,Bucks,30-52,0.366,,,,,,,,,,,,,,,,,
1976-77,Bullets,48-34,0.585,,,,,,,,,,,,,,,,,
1976-77,Bulls,44-38,0.537,,,,,,,,,,,,,,,,,
1976-77,Cavaliers,43-39,0.524,,,,,,,,,,,,,,,,,
1976-77,Celtics,44-38,0.537,,,,,,,,,,,,,,,,,
1976-77,Hawks,31-51,0.378,,,,,,,,,,,,,,,,,
1976-77,Jazz,35-47,0.427,,,,,,,,,,,,,,,,,
1976-77,Kings,40-42,0.488,,,,,,,,,,,,,,,,,
1976-77,Knicks,40-42,0.488,,,,,,,,,,,,,,,,,
1976-77,Lakers,53-29,0.646,,,,,,,,,,,,,,,,,
1976-77,Nets,22-60,0.268,,,,,,,,,,,,,,,,,
1976-77,Nuggets,50-32,0.61,,,,,,,,,,,,,,,,,
1976-77,Pacers,36-46,0.439,,,,,,,,,,,,,,,,,
1976-77,Pistons,44-38,0.537,,,,,,,,,,,,,,,,,
1976-77,Rockets,49-33,0.598,,,,,,,,,,,,,,,,,
1976-77,Spurs,44-38,0.537,,,,,,,,,,,,,,,,,
1976-77,Suns,34-48,0.415,,,,,,,,,,,,,,,,,
1976-77,Supersonics,40-42,0.488,,,,,,,,,,,,,,,,,
1976-77,Trail Blazers,49-33,0.598,,,,,,,,,,,,,,,,,
1976-77,Warriors,46-36,0.561,,,,,,,,,,,,,,,,,
1975-76,76ers,46-36,0.561,,,,,,,,,,,,,,,,,
1975-76,Braves,46-36,0.561,,,,,,,,,,,,,,,,,
1975-76,Bucks,38-44,0.463,,,,,,,,,,,,,,,,,
1975-76,Bullets,48-34,0.585,,,,,,,,,,,,,,,,,
1975-76,Bulls,24-58,0.293,,,,,,,,,,,,,,,,,
1975-76,Cavaliers,49-33,0.598,,,,,,,,,,,,,,,,,
1975-76,Celtics,54-28,0.659,,,,,,,,,,,,,,,,,
1975-76,Hawks,29-53,0.354,,,,,,,,,,,,,,,,,
1975-76,Jazz,38-44,0.463,,,,,,,,,,,,,,,,,
1975-76,Kings,31-51,0.378,,,,,,,,,,,,,,,,,
1975-76,Knicks,38-44,0.463,,,,,,,,,,,,,,,,,
1975-76,Lakers,40-42,0.488,,,,,,,,,,,,,,,,,
1975-76,Pistons,36-46,0.439,,,,,,,,,,,,,,,,,
1975-76,Rockets,40-42,0.488,,,,,,,,,,,,,,,,,
1975-76,Suns,42-40,0.512,,,,,,,,,,,,,,,,,
1975-76,Supersonics,43-39,0.524,,,,,,,,,,,,,,,,,
1975-76,Trail Blazers,37-45,0.451,,,,,,,,,,,,,,,,,
1975-76,Warriors,59-23,0.72,,,,,,,,,,,,,,,,,
1974-75,76ers,34-48,0.415,,,,,,,,,,,,,,,,,
1974-75,Braves,49-33,0.598,,,,,,,,,,,,,,,,,
1974-75,Bucks,38-44,0.463,,,,,,,,,,,,,,,,,
1974-75,Bullets,60-22,0.732,,,,,,,,,,,,,,,,,
1974-75,Bulls,47-35,0.573,,,,,,,,,,,,,,,,,
1974-75,Cavaliers,40-42,0.488,,,,,,,,,,,,,,,,,
1974-75,Celtics,60-22,0.732,,,,,,,,,,,,,,,,,
1974-75,Hawks,31-51,0.378,,,,,,,,,,,,,,,,,
1974-75,Jazz,23-59,0.28,,,,,,,,,,,,,,,,,
1974-75,Kings,44-38,0.537,,,,,,,,,,,,,,,,,
1974-75,Knicks,40-42,0.488,,,,,,,,,,,,,,,,,
1974-75,Lakers,30-52,0.366,,,,,,,,,,,,,,,,,
1974-75,Pistons,40-42,0.488,,,,,,,,,,,,,,,,,
1974-75,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
1974-75,Suns,32-50,0.39,,,,,,,,,,,,,,,,,
1974-75,Supersonics,43-39,0.524,,,,,,,,,,,,,,,,,
1974-75,Trail Blazers,38-44,0.463,,,,,,,,,,,,,,,,,
1974-75,Warriors,48-34,0.585,,,,,,,,,,,,,,,,,
1973-74,76ers,25-57,0.305,,,,,,,,,,,,,,,,,
1973-74,Braves,42-40,0.512,,,,,,,,,,,,,,,,,
1973-74,Bucks,59-23,0.72,,,,,,,,,,,,,,,,,
1973-74,Bullets,47-35,0.573,,,,,,,,,,,,,,,,,
1973-74,Bulls,54-28,0.659,,,,,,,,,,,,,,,,,
1973-74,Cavaliers,29-53,0.354,,,,,,,,,,,,,,,,,
1973-74,Celtics,56-26,0.683,,,,,,,,,,,,,,,,,
1973-74,Hawks,35-47,0.427,,,,,,,,,,,,,,,,,
1973-74,Kings,33-49,0.402,,,,,,,,,,,,,,,,,
1973-74,Knicks,49-33,0.598,,,,,,,,,,,,,,,,,
1973-74,Lakers,47-35,0.573,,,,,,,,,,,,,,,,,
1973-74,Pistons,52-30,0.634,,,,,,,,,,,,,,,,,
1973-74,Rockets,32-50,0.39,,,,,,,,,,,,,,,,,
1973-74,Suns,30-52,0.366,,,,,,,,,,,,,,,,,
1973-74,Supersonics,36-46,0.439,,,,,,,,,,,,,,,,,
1973-74,Trail Blazers,27-55,0.329,,,,,,,,,,,,,,,,,
1973-74,Warriors,44-38,0.537,,,,,,,,,,,,,,,,,
1972-73,76ers,9-73,0.11,,,,,,,,,,,,,,,,,
1972-73,Braves,21-61,0.256,,,,,,,,,,,,,,,,,
1972-73,Bucks,60-22,0.732,,,,,,,,,,,,,,,,,
1972-73,Bullets,52-30,0.634,,,,,,,,,,,,,,,,,
1972-73,Bulls,51-31,0.622,,,,,,,,,,,,,,,,,
1972-73,Cavaliers,32-50,0.39,,,,,,,,,,,,,,,,,
1972-73,Celtics,68-14,0.829,,,,,,,,,,,,,,,,,
1972-73,Hawks,46-36,0.561,,,,,,,,,,,,,,,,,
1972-73,Kings,36-46,0.439,,,,,,,,,,,,,,,,,
1972-73,Knicks,57-25,0.695,,,,,,,,,,,,,,,,,
1972-73,Lakers,60-22,0.732,,,,,,,,,,,,,,,,,
1972-73,Pistons,40-42,0.488,,,,,,,,,,,,,,,,,
1972-73,Rockets,33-49,0.402,,,,,,,,,,,,,,,,,
1972-73,Suns,38-44,0.463,,,,,,,,,,,,,,,,,
1972-73,Supersonics,26-56,0.317,,,,,,,,,,,,,,,,,
1972-73,Trail Blazers,21-61,0.256,,,,,,,,,,,,,,,,,
1972-73,Warriors,47-35,0.573,,,,,,,,,,,,,,,,,
1971-72,76ers,30-52,0.366,,,,,,,,,,,,,,,,,
1971-72,Braves,22-60,0.268,,,,,,,,,,,,,,,,,
1971-72,Bucks,63-19,0.768,,,,,,,,,,,,,,,,,
1971-72,Bullets,38-44,0.463,,,,,,,,,,,,,,,,,
1971-72,Bulls,57-25,0.695,,,,,,,,,,,,,,,,,
1971-72,Cavaliers,23-59,0.28,,,,,,,,,,,,,,,,,
1971-72,Celtics,56-26,0.683,,,,,,,,,,,,,,,,,
1971-72,Hawks,36-46,0.439,,,,,,,,,,,,,,,,,
1971-72,Knicks,48-34,0.585,,,,,,,,,,,,,,,,,
1971-72,Lakers,69-13,0.841,,,,,,,,,,,,,,,,,
1971-72,Pistons,26-56,0.317,,,,,,,,,,,,,,,,,
1971-72,Rockets,34-48,0.415,,,,,,,,,,,,,,,,,
1971-72,Royals,30-52,0.366,,,,,,,,,,,,,,,,,
1971-72,Suns,49-33,0.598,,,,,,,,,,,,,,,,,
1971-72,Supersonics,47-35,0.573,,,,,,,,,,,,,,,,,
1971-72,Trail Blazers,18-64,0.22,,,,,,,,,,,,,,,,,
1971-72,Warriors,51-31,0.622,,,,,,,,,,,,,,,,,
1970-71,76ers,47-35,0.573,,,,,,,,,,,,,,,,,
1970-71,Braves,22-60,0.268,,,,,,,,,,,,,,,,,
1970-71,Bucks,66-16,0.805,,,,,,,,,,,,,,,,,
1970-71,Bullets,42-40,0.512,,,,,,,,,,,,,,,,,
1970-71,Bulls,51-31,0.622,,,,,,,,,,,,,,,,,
1970-71,Cavaliers,15-67,0.183,,,,,,,,,,,,,,,,,
1970-71,Celtics,44-38,0.537,,,,,,,,,,,,,,,,,
1970-71,Hawks,36-46,0.439,,,,,,,,,,,,,,,,,
1970-71,Knicks,52-30,0.634,,,,,,,,,,,,,,,,,
1970-71,Lakers,48-34,0.585,,,,,,,,,,,,,,,,,
1970-71,Pistons,45-37,0.549,,,,,,,,,,,,,,,,,
1970-71,Rockets,40-42,0.488,,,,,,,,,,,,,,,,,
1970-71,Royals,33-49,0.402,,,,,,,,,,,,,,,,,
1970-71,Suns,48-34,0.585,,,,,,,,,,,,,,,,,
1970-71,Supersonics,38-44,0.463,,,,,,,,,,,,,,,,,
1970-71,Trail Blazers,29-53,0.354,,,,,,,,,,,,,,,,,
1970-71,Warriors,41-41,0.5,,,,,,,,,,,,,,,,,
1969-70,76ers,42-40,0.512,,,,,,,,,,,,,,,,,
1969-70,Bucks,56-26,0.683,,,,,,,,,,,,,,,,,
1969-70,Bullets,50-32,0.61,,,,,,,,,,,,,,,,,
1969-70,Bulls,39-43,0.476,,,,,,,,,,,,,,,,,
1969-70,Celtics,34-48,0.415,,,,,,,,,,,,,,,,,
1969-70,Hawks,48-34,0.585,,,,,,,,,,,,,,,,,
1969-70,Knicks,60-22,0.732,,,,,,,,,,,,,,,,,
1969-70,Lakers,46-36,0.561,,,,,,,,,,,,,,,,,
1969-70,Pistons,31-51,0.378,,,,,,,,,,,,,,,,,
1969-70,Rockets,27-55,0.329,,,,,,,,,,,,,,,,,
1969-70,Royals,36-46,0.439,,,,,,,,,,,,,,,,,
1969-70,Suns,39-43,0.476,,,,,,,,,,,,,,,,,
1969-70,Supersonics,36-46,0.439,,,,,,,,,,,,,,,,,
1969-70,Warriors,30-52,0.366,,,,,,,,,,,,,,,,,
1968-69,76ers,55-27,0.671,,,,,,,,,,,,,,,,,
1968-69,Bucks,27-55,0.329,,,,,,,,,,,,,,,,,
1968-69,Bullets,57-25,0.695,,,,,,,,,,,,,,,,,
1968-69,Bulls,33-49,0.402,,,,,,,,,,,,,,,,,
1968-69,Celtics,48-34,0.585,,,,,,,,,,,,,,,,,
1968-69,Hawks,48-34,0.585,,,,,,,,,,,,,,,,,
1968-69,Knicks,54-28,0.659,,,,,,,,,,,,,,,,,
1968-69,Lakers,55-27,0.671,,,,,,,,,,,,,,,,,
1968-69,Pistons,32-50,0.39,,,,,,,,,,,,,,,,,
1968-69,Rockets,37-45,0.451,,,,,,,,,,,,,,,,,
1968-69,Royals,41-41,0.5,,,,,,,,,,,,,,,,,
1968-69,Suns,16-66,0.195,,,,,,,,,,,,,,,,,
1968-69,Supersonics,30-52,0.366,,,,,,,,,,,,,,,,,
1968-69,Warriors,41-41,0.5,,,,,,,,,,,,,,,,,
1967-68,76ers,62-20,0.756,,,,,,,,,,,,,,,,,
1967-68,Bullets,36-46,0.439,,,,,,,,,,,,,,,,,
1967-68,Bulls,29-53,0.354,,,,,,,,,,,,,,,,,
1967-68,Celtics,54-28,0.659,,,,,,,,,,,,,,,,,
1967-68,Hawks,56-26,0.683,,,,,,,,,,,,,,,,,
1967-68,Knicks,43-39,0.524,,,,,,,,,,,,,,,,,
1967-68,Lakers,52-30,0.634,,,,,,,,,,,,,,,,,
1967-68,Pistons,40-42,0.488,,,,,,,,,,,,,,,,,
1967-68,Rockets,15-67,0.183,,,,,,,,,,,,,,,,,
1967-68,Royals,39-43,0.476,,,,,,,,,,,,,,,,,
1967-68,Supersonics,23-59,0.28,,,,,,,,,,,,,,,,,
1967-68,Warriors,43-39,0.524,,,,,,,,,,,,,,,,,
1966-67,76ers,68-13,0.84,,,,,,,,,,,,,,,,,
1966-67,Bullets,20-61,0.247,,,,,,,,,,,,,,,,,
1966-67,Bulls,33-48,0.407,,,,,,,,,,,,,,,,,
1966-67,Celtics,60-21,0.741,,,,,,,,,,,,,,,,,
1966-67,Hawks,39-42,0.481,,,,,,,,,,,,,,,,,
1966-67,Knicks,36-45,0.444,,,,,,,,,,,,,,,,,
1966-67,Lakers,36-45,0.444,,,,,,,,,,,,,,,,,
1966-67,Pistons,30-51,0.37,,,,,,,,,,,,,,,,,
1966-67,Royals,39-42,0.481,,,,,,,,,,,,,,,,,
1966-67,Warriors,44-37,0.543,,,,,,,,,,,,,,,,,
1965-66,76ers,55-25,0.688,,,,,,,,,,,,,,,,,
1965-66,Bullets,38-42,0.475,,,,,,,,,,,,,,,,,
1965-66,Celtics,54-26,0.675,,,,,,,,,,,,,,,,,
1965-66,Hawks,36-44,0.45,,,,,,,,,,,,,,,,,
1965-66,Knicks,30-50,0.375,,,,,,,,,,,,,,,,,
1965-66,Lakers,45-35,0.563,,,,,,,,,,,,,,,,,
1965-66,Pistons,22-58,0.275,,,,,,,,,,,,,,,,,
1965-66,Royals,45-35,0.563,,,,,,,,,,,,,,,,,
1965-66,Warriors,35-45,0.438,,,,,,,,,,,,,,,,,
1964-65,76ers,40-40,0.5,,,,,,,,,,,,,,,,,
1964-65,Bullets,37-43,0.463,,,,,,,,,,,,,,,,,
1964-65,Celtics,62-18,0.775,,,,,,,,,,,,,,,,,
1964-65,Hawks,45-35,0.563,,,,,,,,,,,,,,,,,
1964-65,Knicks,31-49,0.388,,,,,,,,,,,,,,,,,
1964-65,Lakers,49-31,0.613,,,,,,,,,,,,,,,,,
1964-65,Pistons,31-49,0.388,,,,,,,,,,,,,,,,,
1964-65,Royals,48-32,0.6,,,,,,,,,,,,,,,,,
1964-65,Warriors,17-63,0.213,,,,,,,,,,,,,,,,,
1963-64,76ers,34-46,0.425,,,,,,,,,,,,,,,,,
1963-64,Bullets,31-49,0.388,,,,,,,,,,,,,,,,,
1963-64,Celtics,59-21,0.738,,,,,,,,,,,,,,,,,
1963-64,Hawks,46-34,0.575,,,,,,,,,,,,,,,,,
1963-64,Knicks,22-58,0.275,,,,,,,,,,,,,,,,,
1963-64,Lakers,42-38,0.525,,,,,,,,,,,,,,,,,
1963-64,Pistons,23-57,0.288,,,,,,,,,,,,,,,,,
1963-64,Royals,55-25,0.688,,,,,,,,,,,,,,,,,
1963-64,Warriors,48-32,0.6,,,,,,,,,,,,,,,,,
1962-63,Celtics,58-22,0.725,,,,,,,,,,,,,,,,,
1962-63,Hawks,48-32,0.6,,,,,,,,,,,,,,,,,
1962-63,Knicks,21-59,0.263,,,,,,,,,,,,,,,,,
1962-63,Lakers,53-27,0.663,,,,,,,,,,,,,,,,,
1962-63,Nationals,48-32,0.6,,,,,,,,,,,,,,,,,
1962-63,Pistons,34-46,0.425,,,,,,,,,,,,,,,,,
1962-63,Royals,42-38,0.525,,,,,,,,,,,,,,,,,
1962-63,Warriors,31-49,0.388,,,,,,,,,,,,,,,,,
1962-63,Zephyrs,25-55,0.313,,,,,,,,,,,,,,,,,
1961-62,Celtics,60-20,0.75,,,,,,,,,,,,,,,,,
1961-62,Hawks,29-51,0.363,,,,,,,,,,,,,,,,,
1961-62,Knicks,29-51,0.363,,,,,,,,,,,,,,,,,
1961-62,Lakers,54-26,0.675,,,,,,,,,,,,,,,,,
1961-62,Nationals,41-39,0.513,,,,,,,,,,,,,,,,,
1961-62,Packers,18-62,0.225,,,,,,,,,,,,,,,,,
1961-62,Pistons,37-43,0.463,,,,,,,,,,,,,,,,,
1961-62,Royals,43-37,0.538,,,,,,,,,,,,,,,,,
1961-62,Warriors,49-31,0.613,,,,,,,,,,,,,,,,,
1960-61,Celtics,57-22,0.722,,,,,,,,,,,,,,,,,
1960-61,Hawks,51-28,0.646,,,,,,,,,,,,,,,,,
1960-61,Knicks,21-58,0.266,,,,,,,,,,,,,,,,,
1960-61,Lakers,36-43,0.456,,,,,,,,,,,,,,,,,
1960-61,Nationals,38-41,0.481,,,,,,,,,,,,,,,,,
1960-61,Pistons,34-45,0.43,,,,,,,,,,,,,,,,,
1960-61,Royals,33-46,0.418,,,,,,,,,,,,,,,,,
1960-61,Warriors,46-33,0.582,,,,,,,,,,,,,,,,,
1959-60,Celtics,59-16,0.787,,,,,,,,,,,,,,,,,
1959-60,Hawks,46-29,0.613,,,,,,,,,,,,,,,,,
1959-60,Knicks,27-48,0.36,,,,,,,,,,,,,,,,,
1959-60,Lakers,25-50,0.333,,,,,,,,,,,,,,,,,
1959-60,Nationals,45-30,0.6,,,,,,,,,,,,,,,,,
1959-60,Pistons,30-45,0.4,,,,,,,,,,,,,,,,,
1959-60,Royals,19-56,0.253,,,,,,,,,,,,,,,,,
1959-60,Warriors,49-26,0.653,,,,,,,,,,,,,,,,,
1958-59,Celtics,52-20,0.722,,,,,,,,,,,,,,,,,
1958-59,Hawks,49-23,0.681,,,,,,,,,,,,,,,,,
1958-59,Knicks,40-32,0.556,,,,,,,,,,,,,,,,,
1958-59,Lakers,33-39,0.458,,,,,,,,,,,,,,,,,
1958-59,Nationals,35-37,0.486,,,,,,,,,,,,,,,,,
1958-59,Pistons,28-44,0.389,,,,,,,,,,,,,,,,,
1958-59,Royals,19-53,0.264,,,,,,,,,,,,,,,,,
1958-59,Warriors,32-40,0.444,,,,,,,,,,,,,,,,,
1957-58,Celtics,49-23,0.681,,,,,,,,,,,,,,,,,
1957-58,Hawks,41-31,0.569,,,,,,,,,,,,,,,,,
1957-58,Knicks,35-37,0.486,,,,,,,,,,,,,,,,,
1957-58,Lakers,19-53,0.264,,,,,,,,,,,,,,,,,
1957-58,Nationals,41-31,0.569,,,,,,,,,,,,,,,,,
1957-58,Pistons,33-39,0.458,,,,,,,,,,,,,,,,,
1957-58,Royals,33-39,0.458,,,,,,,,,,,,,,,,,
1957-58,Warriors,37-35,0.514,,,,,,,,,,,,,,,,,
1956-57,Celtics,44-28,0.611,,,,,,,,,,,,,,,,,
1956-57,Hawks,34-38,0.472,,,,,,,,,,,,,,,,,
1956-57,Knicks,36-36,0.5,,,,,,,,,,,,,,,,,
1956-57,Lakers,34-38,0.472,,,,,,,,,,,,,,,,,
1956-57,Nationals,38-34,0.528,,,,,,,,,,,,,,,,,
1956-57,Pistons,34-38,0.472,,,,,,,,,,,,,,,,,
