Year,Team,Record,Winning Percentage
2006,Lakers,45-37,0.549
2007,Lakers,42-40,0.512
2008,Lakers,57-25,0.695
2009,Lakers,65-17,0.793
2010,Lakers,57-25,0.695
2011,Lakers,57-25,0.695
2012,Lakers,41-25,0.621
2013,Lakers,45-37,0.549
2014,Lakers,27-55,0.329
2015,Lakers,21-61,0.256
2016,Lakers,17-65,0.207
2017,Lakers,16-32,0.333
1990,Magic,18-64,0.22
1991,Magic,31-51,0.378
1992,Magic,21-61,0.256
1993,Magic,41-41,0.5
1994,Magic,50-32,0.61
1995,Magic,57-25,0.695
1996,Magic,60-22,0.732
1997,Magic,45-37,0.549
1998,Magic,41-41,0.5
1999,Magic,33-17,0.66
2000,Magic,41-41,0.5
2001,Magic,43-39,0.524
2002,Magic,44-38,0.537
2003,Magic,42-40,0.512
2004,Magic,21-61,0.256
2005,Magic,36-46,0.439
2006,Magic,36-46,0.439
2007,Magic,40-42,0.488
2008,Magic,52-30,0.634
2009,Magic,59-23,0.72
2010,Magic,59-23,0.72
2011,Magic,52-30,0.634
2012,Magic,37-29,0.561
2013,Magic,20-62,0.244
2014,Magic,23-59,0.28
2015,Magic,25-57,0.305
2016,Magic,35-47,0.427
2017,Magic,18-28,0.391
1981,Mavericks,15-67,0.183
1982,Mavericks,28-54,0.341
1983,Mavericks,38-44,0.463
1984,Mavericks,43-39,0.524
1985,Mavericks,44-38,0.537
1986,Mavericks,44-38,0.537
1987,Mavericks,55-27,0.671
1988,Mavericks,53-29,0.646
1989,Mavericks,38-44,0.463
1990,Mavericks,47-35,0.573
1991,Mavericks,28-54,0.341
1992,Mavericks,22-60,0.268
1993,Mavericks,Nov-71,0.134
1994,Mavericks,13-69,0.159
1995,Mavericks,36-46,0.439
1996,Mavericks,26-56,0.317
1997,Mavericks,24-58,0.293
1998,Mavericks,20-62,0.244
1999,Mavericks,19-31,0.38
2000,Mavericks,40-42,0.488
2001,Mavericks,53-29,0.646
2002,Mavericks,57-25,0.695
2003,Mavericks,60-22,0.732
2004,Mavericks,52-30,0.634
2005,Mavericks,58-24,0.707
2006,Mavericks,60-22,0.732
2007,Mavericks,67-15,0.817
2008,Mavericks,51-31,0.622
2009,Mavericks,50-32,0.61
2010,Mavericks,55-27,0.671
2011,Mavericks,57-25,0.695
2012,Mavericks,36-30,0.545
2013,Mavericks,41-41,0.5
2014,Mavericks,49-33,0.598
2015,Mavericks,50-32,0.61
2016,Mavericks,42-40,0.512
2017,Mavericks,15-29,0.341
1950,Nationals,51-13,0.797
1951,Nationals,32-34,0.485
1952,Nationals,40-26,0.606
1953,Nationals,47-24,0.662
1954,Nationals,42-30,0.583
1955,Nationals,43-29,0.597
1956,Nationals,35-37,0.486
1957,Nationals,38-34,0.528
1958,Nationals,41-31,0.569
1959,Nationals,35-37,0.486
1960,Nationals,45-30,0.6
1961,Nationals,38-41,0.481
1962,Nationals,41-39,0.513
1963,Nationals,48-32,0.6
1977,Nets,22-60,0.268
1978,Nets,24-58,0.293
1979,Nets,37-45,0.451
1980,Nets,34-48,0.415
1981,Nets,24-58,0.293
1982,Nets,44-38,0.537
1983,Nets,49-33,0.598
1984,Nets,45-37,0.549
1985,Nets,42-40,0.512
1986,Nets,39-43,0.476
1987,Nets,24-58,0.293
1988,Nets,19-63,0.232
1989,Nets,26-56,0.317
1990,Nets,17-65,0.207
1991,Nets,26-56,0.317
1992,Nets,40-42,0.488
1993,Nets,43-39,0.524
1994,Nets,45-37,0.549
1995,Nets,30-52,0.366
1996,Nets,30-52,0.366
1997,Nets,26-56,0.317
1998,Nets,43-39,0.524
1999,Nets,16-34,0.32
2000,Nets,31-51,0.378
2001,Nets,26-56,0.317
2002,Nets,52-30,0.634
2003,Nets,49-33,0.598
2004,Nets,47-35,0.573
2005,Nets,42-40,0.512
2006,Nets,49-33,0.598
2007,Nets,41-41,0.5
2008,Nets,34-48,0.415
2009,Nets,34-48,0.415
2010,Nets,Dec-70,0.146
2011,Nets,24-58,0.293
2012,Nets,22-44,0.333
2013,Nets,49-33,0.598
2014,Nets,44-38,0.537
2015,Nets,38-44,0.463
2016,Nets,21-61,0.256
2017,Nets,22-60,0.214
1977,Nuggets,50-32,0.61
1978,Nuggets,48-34,0.585
1979,Nuggets,47-35,0.573
1980,Nuggets,30-52,0.366
1981,Nuggets,37-45,0.451
1982,Nuggets,46-36,0.561
1983,Nuggets,45-37,0.549
1984,Nuggets,38-44,0.463
1985,Nuggets,52-30,0.634
1986,Nuggets,47-35,0.573
1987,Nuggets,37-45,0.451
1988,Nuggets,54-28,0.659
1989,Nuggets,44-38,0.537
1990,Nuggets,43-39,0.524
1991,Nuggets,20-62,0.244
1992,Nuggets,24-58,0.293
1993,Nuggets,36-46,0.439
1994,Nuggets,42-40,0.512
1995,Nuggets,41-41,0.5
1996,Nuggets,35-47,0.427
1997,Nuggets,21-61,0.256
1998,Nuggets,Nov-71,0.134
1999,Nuggets,14-36,0.28
2000,Nuggets,35-47,0.427
2001,Nuggets,40-42,0.488
2002,Nuggets,27-55,0.329
2003,Nuggets,17-65,0.207
2004,Nuggets,43-39,0.524
2005,Nuggets,49-33,0.598
2006,Nuggets,44-38,0.537
2007,Nuggets,45-37,0.549
2008,Nuggets,50-32,0.61
2009,Nuggets,54-28,0.659
2010,Nuggets,53-29,0.646
2011,Nuggets,50-32,0.61
2012,Nuggets,38-28,0.576
2013,Nuggets,57-25,0.695
2014,Nuggets,36-46,0.439
2015,Nuggets,30-52,0.366
2016,Nuggets,33-49,0.402
2017,Nuggets,18-25,0.419
1977,Pacers,36-46,0.439
1978,Pacers,31-51,0.378
1979,Pacers,38-44,0.463
1980,Pacers,37-45,0.451
1981,Pacers,44-38,0.537
1982,Pacers,35-47,0.427
1983,Pacers,20-62,0.244
1984,Pacers,26-56,0.317
1985,Pacers,22-60,0.268
1986,Pacers,26-56,0.317
1987,Pacers,41-41,0.5
1988,Pacers,38-44,0.463
1989,Pacers,28-54,0.341
1990,Pacers,42-40,0.512
1991,Pacers,41-41,0.5
1992,Pacers,40-42,0.488
1993,Pacers,41-41,0.5
1994,Pacers,47-35,0.573
1995,Pacers,52-30,0.634
1996,Pacers,52-30,0.634
1997,Pacers,39-43,0.476
1998,Pacers,58-24,0.707
1999,Pacers,33-17,0.66
2000,Pacers,56-26,0.683
2001,Pacers,41-41,0.5
2002,Pacers,42-40,0.512
2003,Pacers,48-34,0.585
2004,Pacers,61-21,0.744
2005,Pacers,44-38,0.537
2006,Pacers,41-41,0.5
2007,Pacers,35-47,0.427
2008,Pacers,36-46,0.439
2009,Pacers,36-46,0.439
2010,Pacers,32-50,0.39
2011,Pacers,37-45,0.451
2012,Pacers,42-24,0.636
2013,Pacers,49-32,0.605
2014,Pacers,56-26,0.683
2015,Pacers,38-44,0.463
2016,Pacers,45-37,0.549
2017,Pacers,22-21,0.512
1962,Packers,18-62,0.225
2014,Pelicans,34-48,0.415
2015,Pelicans,45-37,0.549
2016,Pelicans,30-52,0.366
2017,Pelicans,17-27,0.386
1949,Pistons,22-38,0.367
1950,Pistons,40-28,0.588
1951,Pistons,32-36,0.471
1952,Pistons,29-37,0.439
1953,Pistons,36-33,0.522
1954,Pistons,40-32,0.556
1955,Pistons,43-29,0.597
1956,Pistons,37-35,0.514
1957,Pistons,34-38,0.472
1958,Pistons,33-39,0.458
1959,Pistons,28-44,0.389
1960,Pistons,30-45,0.4
1961,Pistons,34-45,0.43
1962,Pistons,37-43,0.463
1963,Pistons,34-46,0.425
1964,Pistons,23-57,0.288
1965,Pistons,31-49,0.388
1966,Pistons,22-58,0.275
1967,Pistons,30-51,0.37
1968,Pistons,40-42,0.488
1969,Pistons,32-50,0.39
1970,Pistons,31-51,0.378
1971,Pistons,45-37,0.549
1972,Pistons,26-56,0.317
1973,Pistons,40-42,0.488
1974,Pistons,52-30,0.634
1975,Pistons,40-42,0.488
1976,Pistons,36-46,0.439
1977,Pistons,44-38,0.537
1978,Pistons,38-44,0.463
1979,Pistons,30-52,0.366
1980,Pistons,16-66,0.195
1981,Pistons,21-61,0.256
1982,Pistons,39-43,0.476
1983,Pistons,37-45,0.451
1984,Pistons,49-33,0.598
1985,Pistons,46-36,0.561
1986,Pistons,46-36,0.561
1987,Pistons,52-30,0.634
1988,Pistons,54-28,0.659
1989,Pistons,63-19,0.768
1990,Pistons,59-23,0.72
1991,Pistons,50-32,0.61
1992,Pistons,48-34,0.585
1993,Pistons,40-42,0.488
1994,Pistons,20-62,0.244
1995,Pistons,28-54,0.341
1996,Pistons,46-36,0.561
1997,Pistons,54-28,0.659
1998,Pistons,37-45,0.451
1999,Pistons,29-21,0.58
2000,Pistons,42-40,0.512
2001,Pistons,32-50,0.39
2002,Pistons,50-32,0.61
2003,Pistons,50-32,0.61
2004,Pistons,54-28,0.659
2005,Pistons,54-28,0.659
2006,Pistons,64-18,0.78
2007,Pistons,53-29,0.646
2008,Pistons,59-23,0.72
2009,Pistons,39-43,0.476
2010,Pistons,27-55,0.329
2011,Pistons,30-52,0.366
2012,Pistons,25-41,0.379
2013,Pistons,29-53,0.354
2014,Pistons,29-53,0.354
2015,Pistons,32-50,0.39
2016,Pistons,44-38,0.537
2017,Pistons,21-24,0.467
1996,Raptors,21-61,0.256
1997,Raptors,30-52,0.366
1998,Raptors,16-66,0.195
1999,Raptors,23-27,0.46
2000,Raptors,45-37,0.549
2001,Raptors,47-35,0.573
2002,Raptors,42-40,0.512
2003,Raptors,24-58,0.293
2004,Raptors,33-49,0.402
2005,Raptors,33-49,0.402
2006,Raptors,27-55,0.329
2007,Raptors,47-35,0.573
2008,Raptors,41-41,0.5
2009,Raptors,33-49,0.402
2010,Raptors,40-42,0.488
2011,Raptors,22-60,0.268
2012,Raptors,23-43,0.348
2013,Raptors,34-48,0.415
2014,Raptors,48-34,0.585
2015,Raptors,49-33,0.598
2016,Raptors,56-26,0.683
2017,Raptors,28-16,0.636
1968,Rockets,15-67,0.183
1969,Rockets,37-45,0.451
1970,Rockets,27-55,0.329
1971,Rockets,40-42,0.488
1972,Rockets,34-48,0.415
1973,Rockets,33-49,0.402
1974,Rockets,32-50,0.39
1975,Rockets,41-41,0.5
1976,Rockets,40-42,0.488
1977,Rockets,49-33,0.598
1978,Rockets,28-54,0.341
1979,Rockets,47-35,0.573
1980,Rockets,41-41,0.5
1981,Rockets,40-42,0.488
1982,Rockets,46-36,0.561
1983,Rockets,14-68,0.171
1984,Rockets,29-53,0.354
1985,Rockets,48-34,0.585
1986,Rockets,51-31,0.622
1987,Rockets,42-40,0.512
1988,Rockets,46-36,0.561
1989,Rockets,45-37,0.549
1990,Rockets,41-41,0.5
1991,Rockets,52-30,0.634
1992,Rockets,42-40,0.512
1993,Rockets,55-27,0.671
1994,Rockets,58-24,0.707
1995,Rockets,47-35,0.573
1996,Rockets,48-34,0.585
1997,Rockets,57-25,0.695
1998,Rockets,41-41,0.5
1999,Rockets,31-19,0.62
2000,Rockets,34-48,0.415
2001,Rockets,45-37,0.549
2002,Rockets,28-54,0.341
2003,Rockets,43-39,0.524
2004,Rockets,45-37,0.549
2005,Rockets,51-31,0.622
2006,Rockets,34-48,0.415
2007,Rockets,52-30,0.634
2008,Rockets,55-27,0.671
2009,Rockets,53-29,0.646
2010,Rockets,42-40,0.512
2011,Rockets,43-39,0.524
2012,Rockets,34-32,0.515
2013,Rockets,45-37,0.549
2014,Rockets,54-28,0.659
2015,Rockets,56-26,0.683
2016,Rockets,41-41,0.5
2017,Rockets,34-13,0.723
1949,Royals,45-15,0.75
1950,Royals,51-17,0.75
1951,Royals,41-27,0.603
1952,Royals,41-25,0.621
1953,Royals,44-26,0.629
1954,Royals,44-28,0.611
1955,Royals,29-43,0.403
1956,Royals,31-41,0.431
1957,Royals,31-41,0.431
1958,Royals,33-39,0.458
1959,Royals,19-53,0.264
1960,Royals,19-56,0.253
1961,Royals,33-46,0.418
1962,Royals,43-37,0.538
1963,Royals,42-38,0.525
1964,Royals,55-25,0.688
1965,Royals,48-32,0.6
1966,Royals,45-35,0.563
1967,Royals,39-42,0.481
1968,Royals,39-43,0.476
1969,Royals,41-41,0.5
1970,Royals,36-46,0.439
1971,Royals,33-49,0.402
1972,Royals,30-52,0.366
1977,Spurs,44-38,0.537
1978,Spurs,52-30,0.634
1979,Spurs,48-34,0.585
1980,Spurs,41-41,0.5
1981,Spurs,52-30,0.634
1982,Spurs,48-34,0.585
1983,Spurs,53-29,0.646
1984,Spurs,37-45,0.451
1985,Spurs,41-41,0.5
1986,Spurs,35-47,0.427
1987,Spurs,28-54,0.341
1988,Spurs,31-51,0.378
1989,Spurs,21-61,0.256
1990,Spurs,56-26,0.683
1991,Spurs,55-27,0.671
1992,Spurs,47-35,0.573
1993,Spurs,49-33,0.598
1994,Spurs,55-27,0.671
1995,Spurs,62-20,0.756
1996,Spurs,59-23,0.72
1997,Spurs,20-62,0.244
1998,Spurs,56-26,0.683
1999,Spurs,37-13,0.74
2000,Spurs,53-29,0.646
2001,Spurs,58-24,0.707
2002,Spurs,58-24,0.707
2003,Spurs,60-22,0.732
2004,Spurs,57-25,0.695
2005,Spurs,59-23,0.72
2006,Spurs,63-19,0.768
2007,Spurs,58-24,0.707
2008,Spurs,56-26,0.683
2009,Spurs,54-28,0.659
2010,Spurs,50-32,0.61
2011,Spurs,61-21,0.744
2012,Spurs,50-16,0.758
2013,Spurs,58-24,0.707
2014,Spurs,62-20,0.756
2015,Spurs,55-27,0.671
2016,Spurs,67-15,0.817
2017,Spurs,34-9,0.791
1969,Suns,16-66,0.195
1970,Suns,39-43,0.476
1971,Suns,48-34,0.585
1972,Suns,49-33,0.598
1973,Suns,38-44,0.463
1974,Suns,30-52,0.366
1975,Suns,32-50,0.39
1976,Suns,42-40,0.512
1977,Suns,34-48,0.415
1978,Suns,49-33,0.598
1979,Suns,50-32,0.61
1980,Suns,55-27,0.671
1981,Suns,57-25,0.695
1982,Suns,46-36,0.561
1983,Suns,53-29,0.646
1984,Suns,41-41,0.5
1985,Suns,36-46,0.439
1986,Suns,32-50,0.39
1987,Suns,36-46,0.439
1988,Suns,28-54,0.341
1989,Suns,55-27,0.671
1990,Suns,54-28,0.659
1991,Suns,55-27,0.671
1992,Suns,53-29,0.646
1993,Suns,62-20,0.756
1994,Suns,56-26,0.683
1995,Suns,59-23,0.72
1996,Suns,41-41,0.5
1997,Suns,40-42,0.488
1998,Suns,56-26,0.683
1999,Suns,27-23,0.54
2000,Suns,53-29,0.646
2001,Suns,51-31,0.622
2002,Suns,36-46,0.439
2003,Suns,44-38,0.537
2004,Suns,29-53,0.354
2005,Suns,62-20,0.756
2006,Suns,54-28,0.659
2007,Suns,61-21,0.744
2008,Suns,55-27,0.671
2009,Suns,46-36,0.561
2010,Suns,54-28,0.659
2011,Suns,40-42,0.488
2012,Suns,33-33,0.5
2013,Suns,25-57,0.305
2014,Suns,48-34,0.585
2015,Suns,39-43,0.476
2016,Suns,23-59,0.28
2017,Suns,15-29,0.341
1968,Supersonics,23-59,0.28
1969,Supersonics,30-52,0.366
1970,Supersonics,36-46,0.439
1971,Supersonics,38-44,0.463
1972,Supersonics,47-35,0.573
1973,Supersonics,26-56,0.317
1974,Supersonics,36-46,0.439
1975,Supersonics,43-39,0.524
1976,Supersonics,43-39,0.524
1977,Supersonics,40-42,0.488
1978,Supersonics,47-35,0.573
1979,Supersonics,52-30,0.634
1980,Supersonics,56-26,0.683
1981,Supersonics,34-48,0.415
1982,Supersonics,52-30,0.634
1983,Supersonics,48-34,0.585
1984,Supersonics,42-40,0.512
1985,Supersonics,31-51,0.378
1986,Supersonics,31-51,0.378
1987,Supersonics,39-43,0.476
1988,Supersonics,44-38,0.537
1989,Supersonics,47-35,0.573
1990,Supersonics,41-41,0.5
1991,Supersonics,41-41,0.5
1992,Supersonics,47-35,0.573
1993,Supersonics,55-27,0.671
1994,Supersonics,63-19,0.768
1995,Supersonics,57-25,0.695
1996,Supersonics,64-18,0.78
1997,Supersonics,57-25,0.695
1998,Supersonics,61-21,0.744
1999,Supersonics,25-25,0.5
2000,Supersonics,45-37,0.549
2001,Supersonics,44-38,0.537
2002,Supersonics,45-37,0.549
2003,Supersonics,40-42,0.488
2004,Supersonics,37-45,0.451
2005,Supersonics,52-30,0.634
2006,Supersonics,35-47,0.427
2007,Supersonics,31-51,0.378
2008,Supersonics,20-62,0.244
2009,Thunder,23-59,0.28
2010,Thunder,50-32,0.61
2011,Thunder,55-27,0.671
2012,Thunder,47-19,0.712
2013,Thunder,60-22,0.732
2014,Thunder,59-23,0.72
2015,Thunder,45-37,0.549
2016,Thunder,55-27,0.671
2017,Thunder,25-19,0.568
1990,Timberwolves,22-60,0.268
1991,Timberwolves,29-53,0.354
1992,Timberwolves,15-67,0.183
1993,Timberwolves,19-63,0.232
1994,Timberwolves,20-62,0.244
1995,Timberwolves,21-61,0.256
1996,Timberwolves,26-56,0.317
1997,Timberwolves,40-42,0.488
1998,Timberwolves,45-37,0.549
1999,Timberwolves,25-25,0.5
2000,Timberwolves,50-32,0.61
2001,Timberwolves,47-35,0.573
2002,Timberwolves,50-32,0.61
2003,Timberwolves,51-31,0.622
2004,Timberwolves,58-24,0.707
2005,Timberwolves,44-38,0.537
2006,Timberwolves,33-49,0.402
2007,Timberwolves,32-50,0.39
2008,Timberwolves,22-60,0.268
2009,Timberwolves,24-58,0.293
2010,Timberwolves,15-67,0.183
2011,Timberwolves,17-65,0.207
2012,Timberwolves,26-40,0.394
2013,Timberwolves,31-51,0.378
2014,Timberwolves,40-42,0.488
2015,Timberwolves,16-66,0.195
2016,Timberwolves,29-53,0.354
2017,Timberwolves,16-28,0.364
1971,Trail Blazers,29-53,0.354
1972,Trail Blazers,18-64,0.22
1973,Trail Blazers,21-61,0.256
1974,Trail Blazers,27-55,0.329
1975,Trail Blazers,38-44,0.463
1976,Trail Blazers,37-45,0.451
1977,Trail Blazers,49-33,0.598
1978,Trail Blazers,58-24,0.707
1979,Trail Blazers,45-37,0.549
1980,Trail Blazers,38-44,0.463
1981,Trail Blazers,45-37,0.549
1982,Trail Blazers,42-40,0.512
1983,Trail Blazers,46-36,0.561
1984,Trail Blazers,48-34,0.585
1985,Trail Blazers,42-40,0.512
1986,Trail Blazers,40-42,0.488
1987,Trail Blazers,49-33,0.598
1988,Trail Blazers,53-29,0.646
1989,Trail Blazers,39-43,0.476
1990,Trail Blazers,59-23,0.72
1991,Trail Blazers,63-19,0.768
1992,Trail Blazers,57-25,0.695
1993,Trail Blazers,51-31,0.622
1994,Trail Blazers,47-35,0.573
1995,Trail Blazers,44-38,0.537
1996,Trail Blazers,44-38,0.537
1997,Trail Blazers,49-33,0.598
1998,Trail Blazers,46-36,0.561
1999,Trail Blazers,35-15,0.7
2000,Trail Blazers,59-23,0.72
2001,Trail Blazers,50-32,0.61
2002,Trail Blazers,49-33,0.598
2003,Trail Blazers,50-32,0.61
2004,Trail Blazers,41-41,0.5
2005,Trail Blazers,27-55,0.329
2006,Trail Blazers,21-61,0.256
2007,Trail Blazers,32-50,0.39
2008,Trail Blazers,41-41,0.5
2009,Trail Blazers,54-28,0.659
2010,Trail Blazers,50-32,0.61
2011,Trail Blazers,48-34,0.585
2012,Trail Blazers,28-38,0.424
2013,Trail Blazers,33-49,0.402
2014,Trail Blazers,54-28,0.659
2015,Trail Blazers,51-31,0.622
2016,Trail Blazers,44-38,0.537
2017,Trail Blazers,19-27,0.413
1947,Warriors,35-25,0.583
1948,Warriors,27-21,0.563
1949,Warriors,28-32,0.467
1950,Warriors,26-42,0.382
1951,Warriors,40-26,0.606
1952,Warriors,33-33,0.5
1953,Warriors,15-67,0.174
1954,Warriors,29-43,0.403
1955,Warriors,33-39,0.458
1956,Warriors,45-27,0.625
1957,Warriors,37-35,0.514
1958,Warriors,37-35,0.514
1959,Warriors,32-40,0.444
1960,Warriors,49-26,0.653
1961,Warriors,46-33,0.582
1962,Warriors,49-31,0.613
1963,Warriors,31-49,0.388
1964,Warriors,48-32,0.6
1965,Warriors,17-63,0.213
1966,Warriors,35-45,0.438
1967,Warriors,44-37,0.543
1968,Warriors,43-39,0.524
1969,Warriors,41-41,0.5
1970,Warriors,30-52,0.366
1971,Warriors,41-41,0.5
1972,Warriors,51-31,0.622
1973,Warriors,47-35,0.573
1974,Warriors,44-38,0.537
1975,Warriors,48-34,0.585
1976,Warriors,59-23,0.72
1977,Warriors,46-36,0.561
1978,Warriors,43-39,0.524
1979,Warriors,38-44,0.463
1980,Warriors,24-58,0.293
1981,Warriors,39-43,0.476
1982,Warriors,45-37,0.549
1983,Warriors,30-52,0.366
1984,Warriors,37-45,0.451
1985,Warriors,22-60,0.268
1986,Warriors,30-52,0.366
1987,Warriors,42-40,0.512
1988,Warriors,20-62,0.244
1989,Warriors,43-39,0.524
1990,Warriors,37-45,0.451
1991,Warriors,44-38,0.537
1992,Warriors,55-27,0.671
1993,Warriors,34-48,0.415
1994,Warriors,50-32,0.61
1995,Warriors,26-56,0.317
1996,Warriors,36-46,0.439
1997,Warriors,30-52,0.366
1998,Warriors,19-63,0.232
1999,Warriors,21-29,0.42
2000,Warriors,19-63,0.232
2001,Warriors,17-65,0.207
2002,Warriors,21-61,0.256
2003,Warriors,38-44,0.463
2004,Warriors,37-45,0.451
2005,Warriors,34-48,0.415
2006,Warriors,34-48,0.415
2007,Warriors,42-40,0.512
2008,Warriors,48-34,0.585
2009,Warriors,29-53,0.354
2010,Warriors,26-56,0.317
2011,Warriors,36-46,0.439
2012,Warriors,23-43,0.348
2013,Warriors,47-35,0.573
2014,Warriors,51-31,0.622
2015,Warriors,67-15,0.817
2016,Warriors,73-9,0.89
2017,Warriors,38-6,0.864
1998,Wizards,42-40,0.512
1999,Wizards,18-32,0.36
2000,Wizards,29-53,0.354
2001,Wizards,19-63,0.232
2002,Wizards,37-45,0.451
2003,Wizards,37-45,0.451
2004,Wizards,25-57,0.305
2005,Wizards,45-37,0.549
2006,Wizards,42-40,0.512
2007,Wizards,41-41,0.5
2008,Wizards,43-39,0.524
2009,Wizards,19-63,0.232
2010,Wizards,26-56,0.317
2011,Wizards,23-59,0.28
2012,Wizards,20-46,0.303
2013,Wizards,29-53,0.354
2014,Wizards,44-38,0.537
2015,Wizards,46-36,0.561
2016,Wizards,41-41,0.5
2017,Wizards,23-20,0.535
1963,Zephyrs,25-55,0.313
